id,level,code,structure,pattern,pinyin,english,review,example,exampleTranslation,url
443,5,N2.154,抜く,抜く,,to do something to the end,,,,
444,5,N2.155,ねばならない,ねばならない,,have to; must,,,,
445,5,N2.156,のみならず,のみならず,,not only; besides; as well,,,,
446,5,N2.157,のも当然だ,のも当然だ,,it's only natural that; no wonder,,,,
447,5,N2.158,のもとで,のもとで,,under,,,,
448,5,N2.159,のももっともだ,のももっともだ,,no wonder; … is only natural,,,,
449,5,N2.160,ばかり 2,ばかり,,about; approximately,,,,
450,5,N2.161,ばかりだ,ばかりだ,,continue to,,,,
451,5,N2.162,ばかりに,ばかりに,,because; on account of,,,,
452,5,N2.163,果たして,果たして,,sure enough; really,,,,
453,5,N2.164,はともかく,はともかく,,whether or not,,,,
454,5,N2.165,は別として,は別として,,aside from,,,,
455,5,N2.166,はもとより,はもとより,,also; let alone,,,,
456,5,N2.167,反面,反面,,on the other hand,,,,
457,5,N2.168,ふうに,ふうに,,in a way (this way/that way/what way),,,,
458,5,N2.169,ふたたび,ふたたび,,again; once more,,,,
459,5,N2.170,ぶりに,ぶりに,,for the first time in,,,,
460,5,N2.171,まい,まい,,won't; intend not to,,,,
461,5,N2.172,まったく○○ない,まったく*ない,,not~at all,,,,
462,5,N2.173,むしろ,むしろ,,rather; instead,,,,
463,5,N2.174,も○○ば○○も,も*ば*も,,…and…,,,,
464,5,N2.175,もう少しで,もう少しで,,almost; nearly,,,,
465,5,N2.176,もかまわず,もかまわず,,without worrying about,,,,
466,5,N2.177,もっとも,もっとも,,but then; although,,,,
467,5,N2.178,ものか,ものか,,as if,,,,
468,5,N2.179,ものがある,ものがある,,(sentence-ending expression of strong judgement),,,,
469,5,N2.180,ものだから,ものだから,,because; the reason is,,,,
470,5,N2.181,ものではない,ものではない,,shouldn't do something; it's impossible to do something,,,,
471,5,N2.182,ものなら,ものなら,,if one can do something,,,,
472,5,N2.183,ものの,ものの,,but; although,,,,
473,5,N2.184,やがて,やがて,,soon; before long; eventually,,,,
474,5,N2.185,やら○○やら,やら*やら,,such things as,,,,
475,5,N2.186,ようがない / ようもない,ようがない|ようもない,,there's no way to; it's impossible to,,,,
476,5,N2.187,要するに,要するに,,the point is,,,,
477,5,N2.188,ようでは,ようでは,,if,,,,
478,5,N2.189,よりほかない,よりほかない,,to have no choice but,,,,
479,5,N2.190,ろくに○○ない,ろくに*ない,,not doing something properly,,,,
480,5,N2.191,わずかに,わずかに,,slightly,,,,
481,5,N2.192,を○○として,を*として,,as,,,,
482,5,N2.193,をきっかけに,をきっかけに,,with… as a start; as a result of,,,,
483,5,N2.194,を契機に,を契機に,,as a good opportunity to; as a result of,,,,
484,5,N2.195,をこめて,をこめて,,filled with,,,,
485,5,N2.196,を通じて / を通して,を通じて|を通して,,via; through,,,,
486,5,N2.197,を問わず,を問わず,,regardless of,,,,
487,5,N2.198,を除いて,を除いて,,except; with the exception of,,,,
488,5,N2.199,をめぐって,をめぐって,,concerning; in regard to,,,,
489,5,N2.200,をもとに,をもとに,,based on; from,,,,
490,5,N2.201,んだって,んだって,,I heard that,,,,
491,6,N1.1,あえて,あえて,,dare to,,,,
492,6,N1.2,あくまでも,あくまでも,,to the end; to the utmost degree,,,,
493,6,N1.3,案の定,案の定,,just as one thought,,,,
494,6,N1.4,あらかじめ,あらかじめ,,beforehand; in advance,,,,
495,6,N1.5,あっての,あっての,,to owe everything to,,,,
496,6,N1.6,場合によっては,場合によっては,,depending on the situation,,,,
497,6,N1.7,ばこそ,ばこそ,,only because,,,,
498,6,N1.8,ばそれまでだ,ばそれまでだ,,if… then it's over,,,,
499,6,N1.9,べからず,べからず,,must not; should not,,,,
500,6,N1.10,べく,べく,,in order to; should,,,,
501,6,N1.11,べくもない,べくもない,,can't,,,,
502,6,N1.12,びる,びる,,seeming to be,,,,
503,6,N1.13,ぶり,ぶり,,style; manner,,,,
504,6,N1.14,ぶる,ぶる,,behaving like,,,,
505,6,N1.15,だに,だに,,even,,,,
506,6,N1.16,だの○○だの,だの*だの,,and; and so forth,,,,
507,6,N1.17,であれ○○であれ,であれ*であれ,,whether A or B,,,,
508,6,N1.18,であれ / であろうと,であれ|であろうと,,whoever / whatever / however,,,,
509,6,N1.19,でも何でもない,でも何でもない,,not in the least,,,,
510,6,N1.20,でなくてなんだろう,でなくてなんだろう,,must be; is definitely,,,,
511,6,N1.21,(で)すら,(で)すら,,even,,,,
512,6,N1.22,ではあるまいか,ではあるまいか,,I wonder if it's not,,,,
513,6,N1.23,ではあるまいし,ではあるまいし,,it's not like; it isn't as if,,,,
514,6,N1.24,ではすまない,ではすまない,,it doesn't end with just,,,,
515,6,N1.25,どうにも○○ない,どうにも*ない,,not … by any means,,,,
516,6,N1.26,がてら,がてら,,on the same occasion,,,,
517,6,N1.27,が早いか,が早いか,,as soon as,,,,
518,6,N1.28,が最後,が最後,,once something occurs; something else happens,,,,
519,6,N1.29,ごとき / ごとく,ごとき|ごとく,,like; as if,,,,
520,6,N1.30,ぐるみ,ぐるみ,,together with,,,,
521,6,N1.31,羽目になる,羽目になる,,to end up with (something unpleasant),,,,
522,6,N1.32,ひとつ,ひとつ,,to give something a try,,,,
523,6,N1.33,ほどのことはない,ほどのことはない,,not worth; no need to,,,,
524,6,N1.34,ほかに○○ない,ほかに*ない,,no other,,,,
525,6,N1.35,ほうがましだ,ほうがましだ,,I would rather,,,,
526,6,N1.36,いかなる,いかなる,,any kind of,,,,
527,6,N1.37,いかんでは / いかんによっては,いかんでは|いかんによっては,,depending on,,,,
528,6,N1.38,いかんによらず,いかんによらず,,regardless of,,,,
529,6,N1.39,いかに,いかに,,how,,,,
530,6,N1.40,いかにも,いかにも,,indeed; really,,,,
531,6,N1.41,いまだに,いまだに,,still; even now,,,,
532,6,N1.42,いずれにせよ,いずれにせよ,,at any rate; in any case,,,,
533,6,N1.43,じみた,じみた,,to look like,,,,
534,6,N1.44,限りだ,限りだ,,I feel so,,,,
535,6,N1.45,かいもなく,かいもなく,,even though,,,,
536,6,N1.46,か否か,か否か,,whether or not,,,,
537,6,N1.47,可能性がある,可能性がある,,there's a possibility,,,,
538,6,N1.48,からある,からある,,as much as; as many as,,,,
539,6,N1.49,かれ○○かれ,かれ*かれ,,or,,,,
540,6,N1.50,かたがた,かたがた,,while; for the purpose of,,,,
541,6,N1.51,かたわら,かたわら,,while; at the same time,,,,
542,6,N1.52,かつて,かつて,,once; before,,,,
543,6,N1.53,嫌いがある,嫌いがある,,to have a tendency to,,,,
544,6,N1.54,きっての,きっての,,the most … of all,,,,
545,6,N1.55,きりがない,きりがない,,there's no end to,,,,
546,6,N1.56,極まる / 極まりない,極まる|極まりない,,extremely,,,,
547,6,N1.57,極めて,極めて,,extremely; exceedingly,,,,
548,6,N1.58,ことだし,ことだし,,because; since,,,,
549,6,N1.59,ことごとく,ことごとく,,altogether; entirely,,,,
550,6,N1.60,ことなしに,ことなしに,,without doing something,,,,
551,6,N1.61,ことのないよう,ことのないよう,,so as not to,,,,
552,6,N1.62,こととて,こととて,,because; since,,,,
553,6,N1.63,くらいなら,くらいなら,,rather than,,,,
554,6,N1.64,くらいのものだ,くらいのものだ,,only,,,,
555,6,N1.65,までだ,までだ,,only,,,,
556,6,N1.66,までもない,までもない,,it's not necessary to,,,,
557,6,N1.67,まじき,まじき,,should not; must not,,,,
558,6,N1.68,ままに,ままに,,to do as,,,,
559,6,N1.69,まみれ,まみれ,,to be covered in,,,,
560,6,N1.70,まるっきり,まるっきり,,totally; completely,,,,
561,6,N1.71,めく,めく,,to show signs of,,,,
562,6,N1.72,もはや,もはや,,already; no longer,,,,
563,6,N1.73,も顧みず / を顧みず,も顧みず|を顧みず,,regardless of; despite,,,,
564,6,N1.74,もしないで,もしないで,,without even doing,,,,
565,6,N1.75,もので,もので,,because; for that reason,,,,
566,6,N1.76,ものを,ものを,,I wish; if only,,,,
567,6,N1.77,ものと思われる,ものと思われる,,to think; to suppose,,,,
568,6,N1.78,ものとして,ものとして,,to assume; to suppose,,,,
569,6,N1.79,もさることながら,もさることながら,,not only… but also,,,,
570,6,N1.80,もしくは,もしくは,,or; otherwise,,,,
571,6,N1.81,ながらに / ながらの,ながらに|ながらの,,while; during,,,,
572,6,N1.82,ないではおかない / ずにはおかない,ないではおかない|ずにはおかない,,will definitely; cannot not,,,,
573,6,N1.83,ないではすまない / ずにはすまない,ないではすまない|ずにはすまない,,must,,,,
574,6,N1.84,ないまでも,ないまでも,,even if something isn't done,,,,
575,6,N1.85,ないものか,ないものか,,can't we…?; can't I…?,,,,
576,6,N1.86,ないものでもない,ないものでもない,,(something) is not entirely impossible,,,,
577,6,N1.87,ないとも限らない,ないとも限らない,,might,,,,
578,6,N1.88,なくして,なくして,,without,,,,
579,6,N1.89,何しろ,何しろ,,in any case; as you know,,,,
580,6,N1.90,なしに,なしに,,without,,,,
581,6,N1.91,ならでは,ならでは,,uniquely applying to,,,,
582,6,N1.92,ならいざしらず,ならいざしらず,,I don't know about A; but B,,,,
583,6,N1.93,なり,なり,,as soon as,,,,
584,6,N1.94,なり○○なり,なり*なり,,or,,,,
585,6,N1.95,なりに / なりの,なりに|なりの,,in one's own way or style,,,,
586,6,N1.96,なりとも,なりとも,,even a little; at least,,,,
587,6,N1.97,に値する,に値する,,to be worth; to deserve,,,,
588,6,N1.98,にあたらない,にあたらない,,it's not worth; there's no need to,,,,
589,6,N1.99,にあって,にあって,,at; during; in the condition of,,,,
590,6,N1.100,にひきかえ,にひきかえ,,in contrast to,,,,
591,6,N1.101,に至るまで,に至るまで,,until; as far as,,,,
592,6,N1.102,に至っては,に至っては,,as for; when it comes to,,,,
593,6,N1.103,に言わせれば,に言わせれば,,if you ask; if one may say,,,,
594,6,N1.104,にかかっている,にかかっている,,to depend on,,,,
595,6,N1.105,にかたくない,にかたくない,,it's not hard to,,,,
596,6,N1.106,にまつわる,にまつわる,,to be related to,,,,
597,6,N1.107,にもほどがある,にもほどがある,,to have a limit; to go too far,,,,
598,6,N1.108,にもまして,にもまして,,more than; above,,,,
599,6,N1.109,に則って,に則って,,in accordance with,,,,
600,6,N1.110,に先駆けて,に先駆けて,,to be the first,,,,
601,6,N1.111,にしたって,にしたって,,even; even if,,,,
602,6,N1.112,にして,にして,,only; in (time span),,,,
603,6,N1.113,に即して,に即して,,in keeping with,,,,
604,6,N1.114,にたえる / にたえない,にたえる|にたえない,,can/can't do something,,,,
605,6,N1.115,に足る / に足りる,に足る|に足りる,,to be enough; to be worthy of,,,,
606,6,N1.116,に足りない,に足りない,,to be not worth,,,,
607,6,N1.117,に照らして,に照らして,,in comparison with; according to,,,,
608,6,N1.118,にとどまらず,にとどまらず,,not limited to,,,,
609,6,N1.119,には及ばない,には及ばない,,there's no need to,,,,
610,6,N1.120,によらず,によらず,,regardless of,,,,
611,6,N1.121,んばかりに,んばかりに,,as if; as though,,,,
612,6,N1.122,んがため,んがため,,in order to,,,,
613,6,N1.123,の至り,の至り,,utmost,,,,
614,6,N1.124,の極み,の極み,,utmost,,,,
615,6,N1.125,のみか,のみか,,not only… but also,,,,
616,6,N1.126,のなんのって,のなんのって,,extremely,,,,
617,6,N1.127,を踏まえて,を踏まえて,,based on,,,,
618,6,N1.128,を経て,を経て,,through; after; via,,,,
619,6,N1.129,をいいことに,をいいことに,,to take advantage of,,,,
620,6,N1.130,を限りに,を限りに,,starting from,,,,
621,6,N1.131,を兼ねて,を兼ねて,,also for the purpose of,,,,
622,6,N1.132,を皮切りに,を皮切りに,,starting with,,,,
623,6,N1.133,を機に,を機に,,as an opportunity to,,,,
624,6,N1.134,を禁じえない,を禁じえない,,can't help but,,,,
625,6,N1.135,をものともせず,をものともせず,,in defiance of,,,,
626,6,N1.136,をもって 1,をもって,,by means of,,,,
627,6,N1.137,をもって 2,をもって,,at the time,,,,
628,6,N1.138,をおいて,をおいて,,other than; without,,,,
629,6,N1.139,を余儀なくされる,を余儀なくされる,,to be forced to do something,,,,
630,6,N1.140,をよそに,をよそに,,despite,,,,
631,6,N1.141,思いをする,思いをする,,to feel,,,,
632,6,N1.142,折に,折に,,when; on the occasion,,,,
633,6,N1.143,およそ,およそ,,totally; (not) at all,,,,
634,6,N1.144,さもないと,さもないと,,otherwise; else; if not so,,,,
635,6,N1.145,さぞ,さぞ,,I'm sure; I'm certain,,,,
636,6,N1.146,始末だ,始末だ,,end up; in the end,,,,
637,6,N1.147,そばから,そばから,,as soon as,,,,
638,6,N1.148,さも,さも,,truly; really,,,,
639,6,N1.149,それなりに,それなりに,,as it is; in its own way,,,,
640,6,N1.150,そうにもない,そうにもない,,impossible; unlikely,,,,
641,6,N1.151,ただ○○のみだ,ただ*のみだ,,can do nothing but,,,,
642,6,N1.152,た拍子に,た拍子に,,the instant,,,,
643,6,N1.153,ためしがない,ためしがない,,(something) is never the case,,,,
644,6,N1.154,たりとも,たりとも,,(not) even; (not) any,,,,
645,6,N1.155,た瞬間に,た瞬間に,,the moment,,,,
646,6,N1.156,てっきり,てっきり,,surely; certainly,,,,
647,6,N1.157,たところで,たところで,,even if one does something,,,,
648,6,N1.158,てからというもの,てからというもの,,after; since,,,,
649,6,N1.159,てかなわない,てかなわない,,can't stand; unable to,,,,
650,6,N1.160,てまで,てまで,,even,,,,
651,6,N1.161,てみせる,てみせる,,I'll definitely,,,,
652,6,N1.162,てもどうにもならない,てもどうにもならない,,it's no use,,,,
653,6,N1.163,ても始まらない,ても始まらない,,it's no use,,,,
654,6,N1.164,ても差し支えない,ても差し支えない,,can; it's okay if,,,,
655,6,N1.165,てしかるべきだ,てしかるべきだ,,should,,,,
656,6,N1.166,ってば,ってば,,I said; I told you to,,,,
657,6,N1.167,てやまない,てやまない,,always; never stop,,,,
658,6,N1.168,と相まって,と相まって,,together with,,,,
659,6,N1.169,とあれば,とあれば,,if; if it's the case that,,,,
660,6,N1.170,とあって,とあって,,because of,,,,
661,6,N1.171,とばかりに,とばかりに,,as if; as though,,,,
662,6,N1.172,といえども,といえども,,even; even if,,,,
663,6,N1.173,といい○○といい,といい*といい,,and; or,,,,
664,6,N1.174,といったらない,といったらない,,very; extremely,,,,
665,6,N1.175,という,という,,all; every,,,,
666,6,N1.176,というか,というか,,or; or more precisely,,,,
667,6,N1.177,というか○○というか,というか*というか,,(I'm not sure if it's) A or B,,,,
668,6,N1.178,というところだ / といったところだ,というところだ|といったところだ,,approximately; about,,,,
669,6,N1.179,というもの,というもの,,during a period of time,,,,
670,6,N1.180,というわけだ,というわけだ,,this means,,,,
671,6,N1.181,というわけではない,というわけではない,,it's not that; it doesn't mean that,,,,
672,6,N1.182,といわず,といわず,,not just; both,,,,
673,6,N1.183,ときたら,ときたら,,when it comes to; concerning,,,,
674,6,N1.184,ときている,ときている,,because,,,,
675,6,N1.185,ところがある,ところがある,,there is,,,,
676,6,N1.186,ところから,ところから,,from the fact that,,,,
677,6,N1.187,とみられる,とみられる,,to be regarded as; to be expected to,,,,
678,6,N1.188,とみるや,とみるや,,at the sight of; upon seeing,,,,
679,6,N1.189,ともなく,ともなく,,to do something without thinking about it,,,,
680,6,N1.190,ともなると / ともなれば,ともなると|ともなれば,,when; once (something happens),,,,
681,6,N1.191,ともすれば,ともすれば,,apt to; prone to,,,,
682,6,N1.192,と思いきや,と思いきや,,I thought,,,,
683,6,N1.193,とりわけ,とりわけ,,especially,,,,
684,6,N1.194,とされる,とされる,,is considered,,,,
685,6,N1.195,とっさに,とっさに,,at once; right away,,,,
686,6,N1.196,としたって / としたところで,としたって|としたところで,,even if,,,,
687,6,N1.197,として○○ない,として*ない,,not even one,,,,
688,6,N1.198,とて,とて,,even if; even though,,,,
689,6,N1.199,とても○○ない,とても*ない,,cannot possibly,,,,
690,6,N1.200,とは,とは,,(indicates word or phrase being defined),,,,
691,6,N1.201,とはいえ,とはいえ,,nonetheless; although,,,,
692,6,N1.202,とはいうものの,とはいうものの,,having said that; be that as it may,,,,
693,6,N1.203,つ○○つ,つ*つ,,(indicates two contrasting actions),,,,
694,6,N1.204,はおろか,はおろか,,let alone; not to mention,,,,
695,6,N1.205,はさておき,はさておき,,setting aside,,,,
696,6,N1.206,や否や,や否や,,the moment that; as soon as,,,,
697,6,N1.207,やしない,やしない,,not (emphatic negative),,,,
698,6,N1.208,(よ)うが / (よ)うと,(よ)うが|(よ)うと,,no matter how/what,,,,
699,6,N1.209,(よ)うが○○まいが / (よ)うと○○まいと,(よ)うが*まいが|(よ)うと*まいと,,whether or not,,,,
700,6,N1.210,(よ)うか○○まいか,(よ)うか*まいか,,whether or not,,,,
701,6,N1.211,(よ)うものなら,(よ)うものなら,,if one chooses to,,,,
702,6,N1.212,(よ)うにも○○ない,(よ)うにも*ない,,even if one tries to do something; it can't be done,,,,
703,6,N1.213,ようによっては,ようによっては,,depending on,,,,
704,6,N1.214,ゆえに,ゆえに,,therefore; consequently,,,,
705,6,N1.215,ざる,ざる,,not; -un,,,,
706,6,N1.216,ずじまい,ずじまい,,never,,,,
707,6,N1.217,ずくめ,ずくめ,,entirely; completely,,,,
708,6,N1.218,ずとも,ずとも,,even without doing,,,,
