id,level,code,structure,pattern,pinyin,english,review,example,exampleTranslation,url
283,5,4.6.3.2,-는다고,*는다고,,,,,,
284,5,4.6.4.1,-는가 하면,*는가 하면,,,,,,
285,5,4.6.4.2,-는 게 틀림없다,*는 게 틀림없다,,,,,,
286,5,4.7.1.1,따라,따라,,,,오늘은 아주 바쁜 날이었는데 오늘따라 차가 고장나서 더 고생했어요.,,
287,5,4.7.1.2,-을걸 그랬다,*을걸 그랬다,,,,,,
288,5,4.7.2.1,-는다더라,*는다더라,,,,,,
289,5,4.7.2.2,-네 -네 하고,*네 *네 하고,,,,,,
290,5,4.7.3.1,-는 김에,*는 김에,,,,,,
291,5,4.7.3.2,설마 -는 건 아니겠지요?,설마 *는 건 아니겠지요,,,,,,
292,5,4.7.4.1,"도 이지만, -기도 -지만",도 이지만|*기도 *지만,,,,,,
293,5,4.7.4.2,-는다면야,*는다면야,,,,,,
294,5,4.8.1.1,-을 따름이다,*을 따름이다,,,,,,
295,5,4.8.1.2,-으니만큼,*으니만큼,,,,,,
296,5,4.8.2.1,-자면,*자면,,,,,,
297,5,4.8.2.2,대로,대로,,,,,,
298,5,4.8.3.1,-는 바람에,*는 바람에,,,,,,
299,5,4.8.3.2,-었으면야,*었으면야,,,,,,
300,5,4.8.4.1,-으나마나,*으나마나,,,,너는 보나마나 합격이다.,你的成绩无论看不看都能及格。,
301,5,4.8.4.2,-게 마련이다,*게 마련이다,,,,,,
302,5,4.9.1.1,-으라고,*으라고,,,,,,
303,5,4.9.1.2,-는다든가,*는다든가,,,,,,
304,5,4.9.2.1,왜 -지 않겠어요?,왜 *지 않겠어요,,,,"가 : 이 부장님이 경제적으로 아주 힘드신가 봐요.
나 : 대학교에 다니는 아이가 셋이나 있는데 왜 힘돌지 않겠어요?",,
305,5,4.9.2.2,으로 봐서는,으로 봐서는,,,,,,
306,5,4.9.3.1,-던가요?,*던가요,,,,,,
307,5,4.9.3.2,-도록2,*도록,,,,,,
308,5,4.9.4.1,그러고 보니,그러고 보니,,,,,,
309,5,4.9.4.2,그렇다고 -을 수는 없지요,그렇다고 *을 수는 없지요,,,,,,
310,5,4.10.1.1,-게,*게,,,,,,
311,5,4.10.1.2,을까 보다,을까 보다,,,,,,
312,5,4.10.2.1,-는 셈이다,*는 셈이다,,,,,,
313,5,4.10.2.2,이라야,이라야,,,,,,
314,5,4.10.3.1,으로는,으로는,,,,,,
315,5,4.10.3.2,-을 필요가 없다,*을 필요가 없다,,,,,,
316,5,4.10.4.1,-고자,*고자,,,,그는 3넌간의 유학을 마치고 자신의 뜻올 펴고자 고국으로 돌어왔다.,,
317,5,4.10.4.2,-음에 따라,*음에 따라,,,,,,
318,6,5.1.1.1,-을 거라고는 생각조차 못했다,*을 거라고는 생각조차 못했다,,,,,,
319,6,5.1.1.2,-을수록 -어지고는 있지만,*을수록 *어지고는 있지만,,,,,,
320,6,5.1.2.1,-오/ -소 / -구려 (하오체),*오| *소 | *구려 ,,,,,,
321,6,5.1.2.2,-네/ -나?/ -게/ -세 (하게체),*네| *나| *게| *세 ,,,,,,
322,6,5.2.1.1,-음에도 불구하고,*음에도 불구하고,,,,,,
323,6,5.2.1.2,-도 -거나와,*도 *거나와,,,,,,
324,6,5.2.2.1,-에다가 -까지,*에다가 *까지,,,,,,
325,6,5.2.2.2,-을 때 -어다 -지,*을 때 *어다 *지,,,,,,
326,6,5.3.1.1,-긴 -나보다,*긴 *나보다,,,,,,
327,6,5.3.1.2,"-길래, -긴 -나/가 보디",*길래|*긴 *나|가 보디,,having observed that,,자명종 소리를 듣고도 안 일어나길래 흔들어 깨웠다.,"Seeing that Jang Myeong-jong heard the voice and still won’t wake up, we shook him awake.",
328,6,5.3.2.1,-기는커녕,*기는커녕,,,,,,
329,6,5.3.2.2,-을뿐더러,*을뿐더러,,,,,,
330,6,5.4.1.1,-데요,*데요,,,,,,
331,6,5.4.1.2,-더라고요,*더라고요,,,,,,
332,6,5.4.2.1,-되,*되,,,,,,
333,6,5.4.2.2,-는 한,*는 한,,,,,,
334,6,5.5.1.1,-어서 -을래야 -을 수가 없다,*어서 *을래야 *을 수가 없다,,想要……也不能……,,새로 산 오리털 코트가 털이 자꾸 빠져서 입을래야 입을 수가 없다.,"The new duck-feather coat keeps dropping feathers, so I can’t wear it even if I wanted to.",
335,6,5.5.1.2,-을까 말까 생각 중이다,*을까 말까 생각 중이다,,,,,,
336,6,5.5.2.1,-는다고,*는다고,,,,,,
337,6,5.5.2.2,-더라도,*더라도,,,,,,
338,6,5.6.1.1,-는다고도 할 수 있다,*는다고도 할 수 있다,,,,,,
339,6,5.6.1.2,-는 듯싶다,*는 듯싶다,,,,,,
340,6,5.6.2.1,-으니 어쩌니 해도/-이니 뭐니 해도,*으니 어쩌니 해도|*이니 뭐니 해도,,,,,,
341,6,5.6.2.2,-은들 -겠어요?,*은들 *겠어요,,,,,,
342,6,5.7.1.1,-는다기보다는,*는다기보다는,,,,,,
343,6,5.7.1.2,-자니 -고 -자니 -고 해서,*자니 *고 *자니 *고 해서,,,,,,
344,6,5.7.2.1,-같이선,*같이선,,,,,,
345,6,5.7.2.2,-을 것 까지는 없겠니만,*을 것 까지는 없겠니만,,,,,,
346,6,5.8.1.1,-으랴 -으랴,*으랴 *으랴,,,,,,
347,6,5.8.1.2,-다 보니 그로 인해,*다 보니 그로 인해,,,,,,
348,6,5.8.2.1,-는 만큼,*는 만큼,,,,,,
349,6,5.8.2.2,-지 않고서는,*지 않고서는,,,,,,
350,6,5.9.1.1,-으리라 (생각하던/이야기하던/말하던),*으리라 ,,"(future intention, esp. in song lyrics)",,죽기 전에 꼭 한 번 가보리라 생각하던 곳에 간다니 잠을 이룰 수가 없었다.,"Before I die, I wanted to go to this place at least once, but when I went I couldn’t sleep.",
351,6,5.9.1.2,-(을 수 없으)리만치,*리만치,,so… that… (describing degree),,형용할 수 없으리만치 아름답더라고요. ,It’s so beautiful that I can’t describe it.,
352,6,5.9.2.1,-을 줄만 일았지,*을 줄만 일았지,,,,,,
353,6,5.9.2.2,-을 게 아니라,*을 게 아니라,,,,,,
354,6,5.10.1.1,-다시피 하다,*다시피 하다,,,,,,
355,6,5.10.1.2,-이라도 -을까 보다,*이라도 *을까 보다,,,,,,
356,6,5.10.2.1,-을 통해,*을 통해,,,,,,
357,6,5.10.2.2,-음으로써,*음으로써,,,,,,
358,7,6.1.1,-느니,*느니,,,,,,
359,7,6.1.2,-을지라도,*을지라도,,,,,,
360,7,6.1.3,-는다거나,*는다거나,,,,,,
361,7,6.1.4,-는 데,*는 데,,为了,,김치의 각종 재료와 양념은 암을 예방하고 비만을 억제하는 데 효과가 있다.,,
362,7,6.2.1,-었던들,*었던들,,if only,,당신의 도움이 없었던들 나는 실패했을 것이다.,"If it had not been for your help, I should have failed.",
363,7,6.2.2,-어 주십사 하고,*어 주십사 하고,,‘주십시오’라고 하고,,새로 시작하는 사업에 투자해 주십사 하고 부탁 말씀 드리러 왔습니다.,我来是要请你给新开启的事业投资。,
364,7,6.2.3,-으면 물라도,*으면 물라도,,虽然如果……的话我不确定，但……,,너무 매우면 몰라도 보통 한국 음식은 다 잘 먹어요.,如果太辣的话我不确定，但一般韩国菜都能吃。,
365,7,6.2.4,-겠거니 하고,*겠거니 하고,,with the thought/expecation that…,,내일이면 그를 만날 수 있겠거니 생각하면 몹시 기쁘다.,"Assured of seeing him tomorrow, I am very happy.",
366,7,6.3.1,-은 채,*은 채,,,,,,
367,7,6.3.2,-으리라는,*으리라는,,,,,,
368,7,6.3.3,아무리 -기로서니,아무리 *기로서니,,,,,,
369,7,6.3.4,-은 끝에,*은 끝에,,,,,,
370,7,6.4.1,-는다 뿐이지,*는다 뿐이지,,,,,,
371,7,6.4.2,-을 법하다,*을 법하다,,,,,,
372,7,6.4.3,-는 가운데,*는 가운데,,,,,,
373,7,6.4.4,-을 테지만,*을 테지만,,,,,,
374,7,6.5.1,-는 셈치고,*는 셈치고,,,,,,
375,7,6.5.2,-으련만,*으련만,,,,,,
376,7,6.5.3,-는탓에,*는탓에,,,,,,
377,7,6.5.4,이라도 -을라치면,이라도 *을라치면,,,,,,
378,7,6.6.1,-는다는 듯이,*는다는 듯이,,,,,,
379,7,6.6.2,-건만,*건만,,,,,,
380,7,6.6.3,-는답시고,*는답시고,,(表示讽刺、嘲讽或不以为然),,해본답시고 장담하더니 결국 손들고 말았군.,还夸口说什么试一试，最后还不是认输了。,
381,7,6.6.4,-는 날엔,*는 날엔,,,,,,
382,7,6.7.1,-은 이상,*은 이상,,,,,,
383,7,6.7.2,-는다는 점에서,*는다는 점에서,,,,,,
384,7,6.7.3,-는 반면,*는 반면,,,,,,
385,7,6.7.4,으로 말미암아,으로 말미암아,,,,,,
386,7,6.8.1,-다 못해,*다 못해,,,,,,
387,7,6.8.2,-기에 망정이지,*기에 망정이지,,多亏……要不然,,비상열쇠가 있기에 망정이지 집에 못 들어갈 뻔했댜,,
388,7,6.8.3,-는 둥 마는 둥 하다,*는 둥 마는 둥 하다,,,,,,
389,7,6.8.4,-던 차이다,*던 차이다,,,,,,
390,7,6.9.1,-기 나름이다,*기 나름이다,,,,,,
391,7,6.9.2,-다손 치더라도,*다손 치더라도,,,,,,
392,7,6.9.3,-는 한이 있더라도,*는 한이 있더라도,,,,,,
393,7,6.9.4,은 고사하고,은 고사하고,,,,,,
394,7,6.10.1,-으려고 들다,*으려고 들다,,,,,,
395,7,6.10.2,-노라면,*노라면,,,,,,
396,7,6.10.3,-은 바,*은 바,,,,,,
397,7,6.10.4,-을 바에야,*을 바에야,,,,,,
