locale,en,cmn-Hans,af,ar,de,el,fi,fr,ga,hi,hr,hu,id,it,ja,ko,nl,no,pl,pt,ro,ru,es,sw,sv,th,tr,vi,cat,sr-latn
hne-deva,Chhattisgarhi (Devanagari),恰蒂斯加尔语（天城体文字）,Chhattisgarhi (Devanagari),تشهاتيسجارية (ديفاناغاري),Chattisgarhi (Devanagari),Τσατισγκάρι (αλφάβητο Ντεβαναγκάρι),chhattisgarhi (devanagari),Chattisgarhi (devanagari),Chhattisgarhi (Devanagari),Chhattisgarhi (Devanagari),chhattisgarhi (devanagari),csattíszgarhí (dévanágari betűs),Chhattisgarhi (Devanagari),Chhattisgarhi (caratteri devanagari),チャッティースガリー語（デーバナーガリー文字）,차티스가르어 (데바나가리 문자),Chhattisgarhi (Devanagari),Chhattisgarhi (devanagari),ćhattisgarhi (pismo dewanagari),Chhattisgarhi (devanágari),Chhattis-garhi (alfabet devanagari),чхаттисгархи (деванагари),chatisgarí (alfabeto devanagari),Chhattisgarhi (Devanagari),Chattisgarhi (devanagariskrift),ชฮัตติสการ์ฮี (เดวานาการี),Chhattisgarhi (Devanagari),Chhattisgarhi (Devanagari),chhattisgarhi (alfabet devanagari),Chhattisgarhi (Devanagari)
ny,Chichewa,齐切瓦语（马拉维）,Chichewa,التشيتشايوا,Cewa,Τσιτσέουα,chichewa,Chichewa,Siséivis,चिचेवा,čičeva,cseva,Chichewa,Chichewa,チェワ語,치체와어,Chichewa,Chichewa,czewa,Chichewa,ChiChewa,чичева,chichewa,Kichewa,Chichewa,ชิเชวา,Çeva Dili,Chichewa,chewa (Malawi),čeva
cgg,Chiga,奇加语,Chiga,تشيغا,Chiga,Τσιγκά,kiga,Chiga,Chiga,Chiga,chiga,kiga,Chiga,Chiga,キガ語,치가어,Chiga,Chiga,chiga,Chiga,Chiga,чига,chiga,Chiga,Chiga,ชิกา,Chiga dili,Chiga,kiga,Chiga
csg,Chilean Sign Language,智利手语,Chileense Gebaretaal,لغة الاشارات التشيلية,Chilenische Gebärdensprache,Νοηματική Γλώσσα της Χιλής,chileläinen viittomakieli,Langue des signes chilienne,Teanga Chomharthaíochta na Sile,चिलियन साइन लैंग्वेज,čileanski znakovni jezik,chilei jelnyelv,Bahasa Isyarat Cile,Lingua dei segni cilena,チリ手話,칠레 수어,Chileense Gebarentaal,Chilensk tegnspråk,chilijski język migowy,Língua de sinais chilena,Limbajul semnelor chilian,чилийский жестовый,lengua de señas chilena,Lugha ya Ishara ya Chile,Chilenskt teckenspråk,ภาษามือชิลี,Şili İşaret Dili,Chile (Ngôn ngữ ký hiệu),llengua de signes xilena,čileanski znakovni jezik
cfm,Chin (Falam),钦语（法兰）,Tsjin (Falam),الشينية (فالام),"Chin, Falam",Τσιν (Φαλάμ),chin (falam),Chin falam,Chin (Falam),चिन (फालम),čin (Falam),chin (falam),Chin (Falam),Chin (Falam),チン語（ファラム）,친어 (팔람),Chin (Falam),Chin (Falam),czin (falam),Chin (falam),Chin (Falam),чинский (фалам),chin falam,Kichin (cha Falam),Chin (falam),ชิน (ฟะลัม),Çin Dili (Falam),Chin (Falam),chin (Falam),čin (falam)
cnh,Chin (Hakha),钦语（哈卡）,Chin (Hakha),الشينية (هاكا),"Chin, Haka",Τσιν (Χάκα),chin (hakha),Chin hakha,Chin (Hakha),चिन (हखा),čin (Haka),chin (hakha),Chin (Hakha),Chin (Haka),チン語（ハカ）,친어 (하카),Chin (Hakha),Chin (Haka),czin (haka),Chin (hakha),Chin (Haka),чинский (хака),chin haka,Kichin (cha Hakha),Chin (haka),ชิน (ฮากา),Çin Dili (Hakha),Chin (Hakha),chin (Hakha),čin (haka)
tcz,Chin (Kuki),钦语（库基）,Chin (Kuki),الشينية (كوكي),"Chin, Kukisch",Τσιν (Κούκι),chin (kuki),Chin Thado,Chin (Kuki),चिन (कूकी),čin (Kuki),chin (kuki),Chin (Kuki),Chin (Kuki),チン語（クキ）,친어 (쿠키),Chin (Kuki),Chin (Kuki),czin (kuki),Chin (kuki),Chin (Kuki),чинский (куки),chin kuki,Kichin (cha Kuki),Chin (kuki),ชิน (กูกี),Çin Dili (Kuki),Chin (Kuki),chin (kuki),čin (kuki)
mrh,Chin (Mara),钦语（马拉）,Tsjin (Mara),الشينية (مارا),"Chin, Mara",Τσιν (Μάρα),chin (mara),Chin mara,Chin (Mara),चिन (मारा),čin (Mara),chin (mara),Chin (Mara),Chin (Mara),チン語（マラ）,친어 (마라),Chin (Mara),Chin (Mara),czin (mara),Chin (mara),Chin (Mara),чинский (мара),chin marae,Kichin (cha Mara),Chin (mara),ชิน (มารา),Çin Dili (Mara),Chin (Mara),chin (mara),čin (mara)
hlt,Chin (Matu),钦语（马图）,Chin (Matu),الشينية (ماتو),"Chin, Matupi",Τσιν (Μάτου),chin (matu),Chin matu,Chin (Matu),Chin (Matu),čin (Matu),chin (matu),Chin (Matu),Chin (Matu),チン語（マツ）,친어 (마투),Chinees (Matu),Chin (Matu),czin (matu),Chin (matu),Chin (Matu),чинский (мату),chin (matu),Chin (Matu),Chin (matu),ฉิ่น (มาตู),Çin (Matu),Chin (Matu),chin (Matu),Čin (Matu)
ctd,Chin (Tiddim),钦语（迪登）,Chin (Tiddim),الشينية (تيديم),"Chin, Tiddim",Τσιν (Τιντίμ),chin (tiddim),Chin tedim,Chin (Tiddim),चिन (तिद्दिम),čin (Tiddim),chin (tiddim),Chin (Tiddim),Chin (Tiddim),チン語（ティッディム）,친어 (티딤),Chin (Tiddim),Chin (Tiddim),czin (tiddim),Chin (tiddim),Chin (Tiddim),чинский (тиддим),chin tiddim,Kichin (cha Tiddim),Chin (tiddim),ชิน (ทิดดิม),Çin Dili (Tiddim),Chin (Tiddim),chin (tiddim),čin (tidim)
czt,Chin (Zotung),钦语（索通）,Chin (Zotung),الشينية (زوتونغ),"Chin, Zotung",Τσιν (Ζοτούνγκ),chin (zotung),Chin zotung,Chin (Zotung),चिन (ज़ोतुंग),čin (Zotung),chin (zotung),Chin (Zotung),Chin (Zotung),チン語（ゾウトン）,친어 (조퉁),Chin (Zotung),Chin (Zotung),czin (zotung),Chin (zotung),Chin (Zotung),чинский (зотунг),chin zotung,Kichin (cha Zotung),Chin (zotung),ชิน (โซตุง),Çin Dili (Zotung),Chin (Zotung),chin (zotung),čin (zotung)
chj,Chinantec (Ojitlan),奇南特克语（奥希特兰）,Chinanteeks (Ojitlan),التشينانتيك (اوجيتلان),Chinantekisch (Ojitlan),Τσιναντική (Οχιτλάν),chinanteekki (Ojitlan),Chinantèque d'Ojitlán,Chinantec (Ojitlan),शिनानटेक (ओजिट्लान),činantek (Ojitlan),csinanték (ohitlán),Chinantec (Ojitlan),Chinanteco (Ojitlan),チナンテク語（オヒトラン）,치난텍어 (오히틀란),Chinanteeks (Ojitlán),Chinantec (Ojitlan),czinantecki (Ojitlan),Chinanteco (ojitlan),Chinantec (Ojitlan),чинантекский (Охитлан),chinanteco de Ojitlán,Kichinantec (cha Ojitlan),Chinantekiska (Ojitlan),ชินันเทก (โอจิตลัน),Çinantek (Ojitlan),Chinantec (Ojitlan),chinantec (Ojitlan),činantek (Ohitlan)
cdo,Chinese (Fuzhounese),中文（福州话）,Chinees (Fuzhounese),الصينية (فوتشو),Chinesisch (Fuzhoua),Κινεζική (Φουζού),kiina (Fuzhou),Chinois (fuzhounais),Chinese (Fuzhounese),चीनी (मिन डॉन्ग),kineski (fuzhou),kínai (fucsoui),Cina (Fuzhounese),Cinese (fuzhounese),中国語（福州語）,중국어 (푸저우어),Chinees (Fuzhou),Kinesisk (fuzhounesisk),chiński (Fuzhou),Chinês (fuzhou),Chineză (Fuzhou),китайский (фучжоуский),chino fuzhou,Chinese (Fuzhounese),Kinesiska (fukienesiska),จีน (ฝูโจว),Çince (Min Dong),Tiếng Hoa (Mân Đông),xinès (min dong),Kineski (Min Dong)
wuu-x-chg,Chinese (Shanghainese),中文（上海话）,Chinees (Sjanghainees),الصينية (شنغهاي),Chinesisch (Wu-yu),Κινεζική (Σαγκάη),kiina (Shanghai),Chinois shanghaïen,Chinese (Shanghainese),Chinese (Shanghainese),kineski (šangajski),kínai (sanghaji),Mandarin (Shanghai),Cinese (shanghainese),中国語（上海語）,중국어 (상하이),Chinees (Shanghainees),Kinesisk (Shanghai),chiński (Szanghaj),Chinês (xangainês),Chineză (Shanghai),китайский (шанхайский),chino (shanghainés),Chinese (Shanghainese),Kinesiska (shanghainesisk),จีน (เซี่ยงไฮ้),Çince (Şangay),Chinese (Shanghainese),xinès (xangainès),kineski (šangajski)
cmn-x-csn,Chinese (Sichuanese),中文（四川话）,Chinees (Sichuanees),الصينية (سيتشوان),Chinesisch (Sichuanesisch),Κινεζική (Σετσουάν),kiina (Sichuan),Chinois sichuanais,Chinese (Sichuanese),Chinese (Sichuanese),kineski (sečuanski),kínai (szecsuani),Mandarin (Sichuan),Cinese (Sichuan),中国語（四川）,중국어 (쓰촨),Chinees (Sichuanhua),kinesisk (sichuanesisk),chiński (syczuański),"Chinês (yi, sichuan)",Chineză (Sihuan),китайский (сычуаньский),chino (Sichuan),Chinese (Sichuanese),Kinesiska (sichuanesisk),จีน (เสฉวน),Çince (Siçuan),Chinese (Sichuanese),xinès (sichuanès),kineski (sečuanski)
wuu-x-wnz,Chinese (Wenzhounese),中文（温州话）,Chinees (Wenzhounese),الصينية (أوجيانغ),Chinesisch (Wenzhounesisch),Κινεζική (Γουένζου),kiina (Wenzhou),Chinois wenzhounais,Chinese (Wenzhounese),वेन्ज़ो,kineski (wenzhou),kínai (vencsoui),Cina (Wenzhounese),Cinese (Wenzhou),中国語（温州語）,중국어 (원저우어),Chinees (Wenzhouhua),Kinesisk (wenzhouesisk),chiński (Wenzhou),Chinês (wenzhounês),Chineză (Wenzhou),китайский (вэньчжоуский),chino wu (de Wenzhou),Chinese (Wenzhounese),Kinesiska (Wenzhou),จีน (เวินโจว),Wenzhou,Chinese (Wenzhounese),xinès (wenzhou),Vendžou
cmn-x-chk,Chinese (Yunnanese),中文（云南话）,Chinees (Yunnanees),الصينية (يونان),Chinesisch (Yunnanesisch),Κινεζική (Γιουνάν),kiina (Yunnan),Chinois (Yunnan),Chinese (Yunnanese),Chinese (Yunnanese),kineski (provincija Yunnan),kínai (yunnan),Mandarin (Yunnan),Cinese (Yunnan),中国語（雲南）,중국어 (윈난),Chinees (Yunnanees),Kinesisk (Yunnan),chiński (Junnan),Chinês (yunnanês),Chineză (Yunnan),китайский (юньнаньский),chino de Yunnan,Chinese (Yunnanese),kinesiska (yunnanesisk),จีนยูนนาน,Çince (Yunnan),Tiếng Hoa (Côn Minh),xinès (Yunnan),Chinese (Yunnanese)
yue-hans,Chinese Cantonese (Simplified),中文简体（广东话）,Kantonnese Chinees (Vereenvoudig),الصينية الكانتونية (المبسطة),"Chinesisch (Kantonesisch, vereinfachte Schriftzeichen)",Κινεζική Καντονεζική (απλοποιημένη),kiina (kantoni; yksink.),Chinois cantonais (simplifié),Chinese Cantonese (Simplified),Chinese Cantonese (Simplified),kineski kantonski (pojednostavljeni),kínai kantoni (egyszerűsített),Cina Kanton (Disederhanakan),Cinese semplificato (cantonese),中国語（広東語，簡体字）,광둥어 (간체자),"Chinees (Kantonees, vereenvoudigd)","Kinesisk (kantonesisk, forenklede tegn)",chiński kantoński (uproszczony),Chinês cantonês (simplificado),Chineză cantoneză (simplificată),"китайский (кантонский, упрощенный)",chino cantonés (simplificado),Chinese Cantonese (Simplified),"Kinesiska (kantonesiska, förenklad)",จีนกวางตุ้งแบบง่าย,Kanton Çincesi (Yalınlaştırılmış),Tiếng Quảng Đông (Giản thể),xinès cantonès (simplificat),kineski kantonski (pojednostavljeni)
yue-hant,Chinese Cantonese (Traditional),中文繁体（广东话）,Kantonnese Chinees (Tradisioneel),الصينية الكانتونية (التقليدية),"Chinesisch (Kantonesisch, traditionell)",Κινεζική Καντονεζική (παραδοσιακή),kiina (kantoni; perint.),Chinois cantonais (traditionnel),Sínis (Cantainis),चीनी (कैंटोनीस),kineski kantonski (tradicionalni),kínai kantoni (hagyományos),Cina Kanton (Tradisional),Cinese tradizionale (cantonese),中国語（広東語，繁体字）,광둥어 (번체자),"Chinees (Kantonees, traditioneel)","Kinesisk (kantonesisk, tradisjonelle tegn)",chiński kantoński (tradycyjny),Chinês cantonês (tradicional),Chineză cantoneză (tradiţională),"китайский (кантонский, традиционный)",chino cantonés (tradicional),Kichina (Kikantoni),"Kinesiska (kantonesiska, traditionell)",จีนกวางตุ้งแบบดั้งเดิม,Kanton Çincesi (Geleneksel),Tiếng Quảng Đông (Phồn thể),xinès cantonès (tradicional),kineski kantonski (tradicionalni)
cmn-hans,Chinese Mandarin (Simplified),中文简体（普通话）,Mandarynse Chinees (Vereenvoudig),الصينية المندرينية (المبسطة),"Chinesisch (Hochchinesisch, vereinfachte Schriftzeichen)",Κινεζική Μανδαρινική (απλοποιημένη),kiina (mandariini; yksink.),Chinois mandarin (simplifié),Sínis (Shimplithe),चीनी (सरल),kineski mandarinski (pojednostavljeni),kínai mandarin (egyszerűsített),Cina Mandarin (Disederhanakan),Cinese semplificato (mandarino),中国語（北京語，簡体字）,중국어 (표준 중국어 간체자),"Chinees (Mandarijn, vereenvoudigd)","Kinesisk (mandarin, forenklede tegn)",chiński mandaryński (uproszczony),Chinês mandarim (simplificado),Chineză mandarină (simplificată),"китайский (путунхуа, упрощенный)",chino mandarín (simplificado),Kichina (Kilicho Rahisi),"Kinesiska (mandarin, förenklad)",จีนกลางแบบง่าย,Mandarin Çincesi (Yalınlaştırılmış),Tiếng Hoa phổ thông (Giản thể),xinès mandarí (simplificat),kineski mandarinski (pojednostavljeni)
cmn-hant,Chinese Mandarin (Traditional),中文繁体（国语）,Mandarynse Chinees (Tradisioneel),الصينية المندرينية (التقليدية),"Chinesisch (Hochchinesisch, traditionell)",Κινεζική Μανδαρινική (παραδοσιακή),kiina (mandariini; perint.),Chinois mandarin (traditionnel),Sínis (Thraidisiúnta),चीनी (पुरानी),kineski mandarinski (tradicionalni),kínai mandarin (hagyományos),Cina Mandarin (Tradisional),Cinese tradizionale (mandarino),中国語（北京語，繁体字）,중국어 (표준 중국어 번체자),"Chinees (Mandarijn, traditioneel)","Kinesisk (mandarin, tradisjonelle tegn)",chiński mandaryński (tradycyjny),Chinês mandarim (tradicional),Chineză mandarină (tradiţională),"китайский (путунхуа, традиционный)",chino mandarín (tradicional),Kichina (cha Kitamaduni),"Kinesiska (mandarin, traditionell)",จีนกลางแบบดั้งเดิม,Mandarin Çincesi (Geleneksel),Tiếng Hoa phổ thông (Phồn thể),xinès mandarí (tradicional),kineski mandarinski (tradicionalni)
csl,Chinese Sign Language,中国手语,Chinese Gebaretaal,لغة الاشارات الصينية,Chinesische Gebärdensprache,Κινεζική Νοηματική Γλώσσα,kiinalainen viittomakieli,Langue des signes chinoise,Teanga Chomharthaíochta na Síne,चीनी साइन लैंग्वेज,kineski znakovni jezik,kínai jelnyelv,Bahasa Isyarat Cina,Lingua dei segni cinese,中国手話,중국 수어,Chinese Gebarentaal,Kinesisk tegnspråk,chiński język migowy,Língua de sinais chinesa,Limbajul semnelor chinezesc,китайский жестовый,lenguaje de señas chino,Lugha ya Ishara ya China,Kinesiskt teckenspråk,ภาษามือจีน,Çin İşaret Dili,Trung Quốc (Ngôn ngữ ký hiệu),llengua de signes xinesa,kineski znakovni jezik
cax,Chiquitano,奇基塔诺语,Chiquitano,شيكويتانو,Chiquitano,Τσικιτάνο,chiquitano,Chiquitano,Chiquitano,Chiquitano,chiquitano,csikitano,Chiquitano,Chiquitano,チキタノ語,치키타노어,Chiquitano,Chiquitano,chiquitano,Chiquitano,Chiquitano,чикито,chiquitano,Chiquitano,Chiquitano,ชิกีตาโน,Chiquitano,Chiquitano,chiquitano,Čikitano
toi,Chitonga,通加语,Chitonga,التشيتونغا,Tonga (Sambia),Τσιτόνγκα,chitonga,Chitonga,Chitonga,चिटोंगा,čitonga,tonga,Chitonga,Chitonga,トンガ語（チトンガ）,치통가어,Chitonga,Chitonga,tonga (Zambia),Chitonga,ChiTonga,читонга,chitonga,Kitonga,Chitonga,ชิทองกา,Çitonga Dili,Chitonga,chitonga,čitonga
tog,Chitonga (Malawi),通加语（马拉维）,Chitonga (Malawi),التشيتونغا (ملاوي),Tonga (Malawi),Τσιτόνγκα (Μαλάουι),chitonga (Malawi),Chitonga du Malawi,Tongais (na Maláive),चिटोंगा (मलावी),čitonga (Malavi),tonga (Malawi),Citonga (Malawi),Chitonga (Malawi),トンガ語（マラウイ）,치통가어 (말라위),Chitonga (Malawi),Chitonga (Malawi),tonga (Malawi),Chitonga malauiano,ChiTonga (Malawi),читонга (Малави),chitonga de Malaui,Chitonga (Malawi),Tonga (chitonga) (Malawi),ชิตองกา (มาลาวี),Çitonga (Malavi),Chitonga (Malawi),chitonga (malawi),čitonga (Malavi)
toi-zw,Chitonga (Zimbabwe),通加语（津巴布韦）,Chitonga (Zimbabwe),تشيتونغا (زمبابوي),Tonga (Simbabwe),Τσιτόνγκα (Ζιμπάμπουε),chitonga (Zimbabwe),Chitonga du Zimbabwe,Chitonga (an tSiombáib),चिटोंगा (ज़िम्बाबवे),čitonga (Zimbabve),tonga (Zimbabwe),Chitonga (Zimbabwe),Tonga (Zimbabwe),トンガ語（ジンバブエ）,치통가어 (짐바브웨),Chitonga (Zimbabwe),Chitonga (Zimbabwe),tonga (Zimbabwe),Chitonga zimbabuano,ChiTonga (Zimbabwe),читонга (Зимбабве),chitonga de Zimbabue,Kichitonga (cha Zimbabwe),Chitonga (Zimbabwe),ชิทองกา (ซิมบับเว),Chitonga (Zimbabve),Chitonga (Zimbabwe),tonga (Zimbàbue),čitonga (Zimbabve)
tum,Chitumbuka,奇图姆布卡语,Chitumbuka,التشيتمبوكا,Tumbuka,Τσιτουμπούκα,chitumbuka,Chitumbuka,Chitumbuka,चितूमबूका,tumbuka,tumbuka,Chitumbuka,Chitumbuka,トゥンブカ語,치툼부카어,Chitumbuka,Chitumbuka,tumbuka,Chitumbuka,ChiTumbuka,тумбука,chitumbuka,kichitumbuka,Tumbuka,ชิทุมบูกา,Chitumbuka,Chitumbuka,chitumbuka,čitumbuka
yao,Chiyao,奇瑶语,Chiyao,التشيياو,Yao,Τσιγιάο,chiyao,Yao,Chiyao,चियाओ,yao,jao,Chiyao,Chiyao,ヤオ語,치야오어,Chiyao,Chiyao,yao (Malawi),Chiyao,ChiYao,чияо,chiyao,Kichiyao,Yao,ชิเยา,Chiyao,Chiyao,chiyao,čijao
cho,Choctaw,乔克托语,Choctaw,تشوكتو,Choktaw,Τσόκτο,choctaw,Choctaw,Choctaw,Choctaw,choctaw,csoktó,Choctaw,Choctaw,チョクトー語,촉토어,Choctaw,Choctaw,choctaw,Choctaw,Choctaw,чокто,choctaw,Choctaw,Choctaw,ชอกทอว์,Çoktav,Choctaw,choctaw,Choctaw
cjk,Chokwe,乔奎语,Chokwe,التشاكوي,Chokwe,Τσόκουε,chokwe,Tchokwé,Chokwe,चोकवी,čokwe,csokve,Chokwe,Chokwe,チョクウェ語,초퀘어,Tshokwe,Chokwe,czokwe,Chokwe,Chokwe,чокве,chokue,Kichokwe,Chokwe,โชเกว,Çokue Dili,Chokwe,chokwe,čokve
ctu,Chol,乔尔语,Chol,التشول,Chol,Τσολ,chol,Chol,Chol,चोल,čol,kol,Chol,Chol,チョール語,촐어,Chol,Chol,czol,Chol,Chol,чоль,chol,Kichol,Chol,ชอล,Çol Dili,Chol,chol,čol
chd,Chontal (Oaxaca),琼塔尔语（瓦哈卡）,Chontal (Oaxaca),التشونتالية (واهاكا),Chontal (Oaxaca),Τσόνταλ (Οαχάκα),chontal (Oaxaca),Chontal d'Oaxaca,Chontal (Oaxaca),चौंटल (वाहाका),čontal (Oaxaca),csontal (Oaxaca),Chontal (Oaxaca,Chontal (Oaxaca),チョンタル語（オアハカ）,촌탈어 (오악사카),Chontal (Oaxaca),Chontal (Oaxaca),chontal (Oaxaca),Chontal (Oaxaca),Chontal (de Oaxaca),чонталь (Оахака),chontal de Oaxaca,Kichontal (Oaksaka),Chontal (Oaxaca),ชอนตัล (โออาซากา),Çöntal (Oaxaca),Chontal (Oaxaca),chontal (oaxaca),čontal (oahaka)
chf,Chontal (Tabasco),琼塔尔语（塔巴斯科）,Chontal (Tabasco),التشونتالية (تاباسكو),Tabasco-Chontal,Τσόνταλ (Ταμπάσκο),chontal (Tabasco),Chontal de Tabasco,Chontal (Tabasco),चौंटल (टबास्को),čontal (Tabasco),csontal (Tabasco),Chontal (Tabasco),Chontal (Tabasco),チョンタル語（タバスコ）,촌탈어 (타바스코),Chontal (Tabasco),Chontal (Tabasco),chontal (Tabasco),Chontal (Tabasco),Chontal (de Tabasco),чонталь (Табаско),chontal de Tabasco,Kichontal (Tabasko),Chontal (Tabasco),ชอนตัล (ทาบาสโก),Çöntal (Tabasco),Chontal (Tabasco),chontal (tabasco),čontal (tabasko)
cce,Chopi,乔皮语,Chopi,تشابي,Chopi,Τσόπι,chopi,Chopi,Chopi,चोपी,čopi,csopi,Chopi,Chopi,チョピ語,초피어,Chopi,Chopi,chopi,Chope,Chopi,чопи,chopi,Kichopi,Chopi,โชปี,Chopi,Chopi,chopí,čopi
crt,Chorote (Iyojwa'ja),乔尔蒂语（伊尤瓦夏）,Chorote (Iyojwa'ja),التشوروتية (إيوجواجا),Chorote (Iyojwa'ja),Τσοροτί (Ιγιοβάια),chorote (iyojwaja),Chorote,Chorote (Iyojwa'ja),Chorote (Iyojwa'ja),chorote (iyojwa'ja),csorote,Chorote (Iyojwa'ja),Chorote (Iyojwa'ja),チョロテ語（イヨフワハ方言）,초로테어 (이요화하),Chorote (Iyojwa'ja),Chorote (iyojwa'ja),chorote (iyojwa'ja),Choroti (iyojwa'ja),Chorote (Iyojwa'ja),чороти (ийохваха),chorote (iyojwa'ja),Chorote (Iyojwa'ja),Chorote (iyojwa'ja),โชโรเต (อีโยจวาจา),Çorote (Iyojwa'ja),Chorote (Iyojwa'ja),chorote (iyojuwa'ja),Chorote (Iyojwa'ja)
chw,Chuabo,楚瓦博语,Chuabo,التشوابو,Chwabo,Χουάμπο,chuabo,Chuabo,Chuabo,चूआबो,čuabo,chwabo,Chuabo,Chuabo,チュアボ語,추아보어,Chuabo,Chuabo,chuabo,Chuabo,Chuabo,чуабо,chuabo,Kichuabo,Chuabo,ชัวโบ,Çuabo,Chuabo,chuabo,čuabo
cac,Chuj,丘赫语,Chuj,تشودج,Chuj,Τσουχ,chuj,Chuj,Chuj,चूई,čuh,csu,Chuj,Chuj,チュフ語,추어,Chuj,Chuj,chuh,Chuj,Chuj,чух,chuj,Kichuj,Chuj,ชุจ,Çuh,Chuj,chuj,čuj
chk,Chuukese,丘克语,Chuukees,الشوكية,Trukesisch,Τσουκική,chuuk,Chuuk,Chuukese,चूकीस,chuuk,truki,Chuuk,Chuukese,チューク語,추크어,Chuukees,Chuukesisk,truk,Chuuquês,Chuukese,трук,chuukés,Kichuuke,Chuukesiska,ชุก,Chuuk,Chuuk,chuuk,trukski
cv,Chuvash,楚瓦什语,Tsjoewasjies,التشوفاشية,Tschuwaschisch,Τσουβάς,tšuvassi,Tchouvache,Suvaisis,चूवाश,čuvaški,csuvas,Chuvash,Ciuvascio,チュバシ語,추바슈어,Tsjoevasjisch,Tsjuvasjisk,czuwaski,Chuvache,Ciuvaşă,чувашский,chuvash,Kichuvash,Tjuvasjiska,ชูวัช,Çuvaşça,Chuvash,chuvash,čuvaški
bem,Cibemba,本巴语,Cibemba,السيبمبية,Bemba,Τσιμπέμπα,cibemba,Icibemba,Cibemba,सिबेम्बा,cibemba,bemba,Cibemba,Cibemba,ベンバ語,시벰바어,Bemba,Cibemba,bemba,Cibemba,Cibemba,чибемба,cibemba,Kibemba,Cibemba,ซิเบมบา,Bemba,Cibemba,bemba,bemba
mwn,Cinamwanga,伊南万加语,Cinamwanga,السيناموانغا,Mwanga,Τσιναμουάγκα,cinamwanga,Ichinamwanga,Cinamwanga,सिनमवाँगा,cinamwanga,nyamwanga,Cinamwanga,Cinamwanga,ナムワンガ語,시남왕가어,Cinamwanga,Cinamwanga,mwanga,Cinamwanga,Cinamwanga,кинамванга,cinamwanga,Kicinamwanga,Cinamwanga,ซินัมวังกา,Cinamvanga Dili,Cinamwanga,cinamwanga,mong
nya,Cinyanja,齐切瓦语（赞比亚）,Cinyanja,السينيانجا,Nyanja,Τσινιάτζα,cinyanja,Nyanja,Cinyanja,सिनयाँजा,cinyanja,nyandzsa,Cinyanja,Chinyanja,ニャンジャ語,시니안자어,Nyanja,Cinyanja,niandża,Cinianja,ChiNyanja,ньянджа,ñanya,Kinyanja,Chinyanja,ซินยันจา,Nyanja,Cinyanja,nyanja,činjandža
csn,Colombian Sign Language,哥伦比亚手语,Colombiaanse Gebaretaal,لغة الاشارات الكولومبية,Kolumbianische Gebärdensprache,Νοηματική Γλώσσα της Κολομβίας,kolumbialainen viittomakieli,Langue des signes colombienne,Teanga Chomharthaíochta na Colóime,कोलम्बियन साइन लैंग्वेज,kolumbijski znakovni jezik,kolumbiai jelnyelv,Bahasa Isyarat Kolombia,Lingua dei segni colombiana,コロンビア手話,콜롬비아 수어,Colombiaanse Gebarentaal,Colombiansk tegnspråk,kolumbijski język migowy,Língua de sinais colombiana,Limbajul semnelor columbian,колумбийский жестовый,lengua de señas colombiana,Lugha ya Ishara ya Kolombia,Colombianskt teckenspråk,ภาษามือโคลอมเบีย,Kolombiya İşaret Dili,Colombia (Ngôn ngữ ký hiệu),llengua de signes colombiana,kolumbijski znakovni jezik
cfg,Como Karim,科莫卡林语,Como Karim,كومو كاريم,Chomo-Karim,Κόμο Καρίμ,como karim,Como Karim,Como Karim,Como Karim,como karim,karimi csomo,Como Karim,Como karim,チョモ・カリム語,코모 카림어,Como Karim,Como karim,como karim,Como Karim,Como Karim,чомо карим,como karín,Como Karim,Como Karim,โคโมคาริม,Komo Karim,Como Karim,como karim,Komo karim
zdj,Comorian (Ngazidja),科摩罗语（恩加齐贾）,Comoraans (Ngazidja),القمرية (نغازيدجا),Ngazija,Κομοριανή (Ενγκαζίτζα),komori (Ngazidja),Comorien (Ngazidja),Comorian (Ngazidja),कोमोरियन (नजवाइक्ज़ा),komorski (Ngazidja),Comore-szigeteki (Njazidja),Comorian (Ngazidja),Comoriano (Ngazidja),コモロ語（ンガズィジャ）,코모로어 (응가지자),Comoraans (Njazidja),Komorisk (Njazídja),komorski (Ngazidja),Comorense (Ngazidja),Comorian (Ngazidja),коморский (Нгазиджа),comoriano de Ngazidja,Kikomoro (Ngazidja),Comoro (Ngazidja),คอโมโรส (งาซิดจา),Komor Dili (Ngazidja),Comorian (Ngazidja),comorià (ngazidja),komorski (Ngazdža)
sgn-cd,Congolese Sign Language,刚果语手语,Kongolese Gebaretaal,لغة الاشارات الكونغولية,Kongolesische Gebärdensprache,Κονγκολεζική Νοηματική Γλώσσα,kongolainen viittomakieli,Langue des signes congolaise,Congolese Sign Language,कोंगोलिस साइन लैंग्वेज,kongoanski znakovni jezik,kongói jelnyelv,Bahasa Isyarat Kongo,Lingua dei segni congolese,コンゴ手話,콩고 수어,Congolese Gebarentaal,Kongolesisk tegnspråk,kongijski język migowy,Língua de sinais congolesa,Limbajul semnelor congolez,конголезский жестовый,lenguaje de señas congoleño,Congolese Sign Language,Kongolesiskt teckenspråk,ภาษามือคองโก,Kongo İşaret Dili,Congo (Ngôn ngữ ký hiệu),llengua de signes congolesa,Kongoleze Znakovni jezik
