id	kanji	kana	translation
4787	アストリンゼント	アストリンゼント	收敛性的化妆水
4788	アストロドーム	アストロドーム	(飞机顶部透明的)天体观察窗，天体观测舱
4789	アストロノート	アストロノート	星际航行员，宇宙航行员
4790	アストロラーベ	アストロラーベ	(古代的)浑天仪，浑仪，(携带型)观象仪，星盘
4791	アスパラガス	アスパラガス	石刁柏，芦笋，龙须菜
4792	アスパラギンさん	アスパラギンさん	天冬氨酸
4793	アスピリン	アスピリン	阿斯匹林
4794	アスピーテ	アスピーテ	盾形火山
4795	アスファルト	アスファルト	柏油，沥青
4796	アスファルトコンクリート	アスファルトコンクリート	沥青混凝土
4797	アスベスチン	アスベスチン	滑石棉
4798	アスベスト	アスベスト	石棉
4799	アスペクト	アスペクト	样子，面貌，形势，局面
4800	アスペクトレーショ	アスペクトレーショ	(飞机的)展弦比，画面的纵横比，高宽比
4801	アスボライト	アスボライト	钴土
4802	アスマンつうふうかんしつけい	アスマンつうふうかんしつけい	阿斯曼湿度计
4803	アスレチック	アスレチック	体育运动
4804	アセチレン	アセチレン	乙炔
4805	アセトアルデヒド	アセトアルデヒド	乙醛
4806	アセトカーミン	アセトカーミン	醋酸品红
4807	アセトン	アセトン	丙酮
4808	アセトンブタノールはっこう	アセトンブタノールはっこう	丙酮丁醇发酵
4809	アセナフテン	アセナフテン	苊，萘嵌戊烷
4810	アセンブラー	アセンブラー	装配工，装配器，收集器，汇编程序
4811	アセンブリー	アセンブリー	集会，集合，(机器等的)装配
4812	アゼルバイジャン	アゼルバイジャン	阿塞拜疆
4813	アソシエーション	アソシエーション	联合，联盟，协会，社团
4814	アゾ	アゾ	偶氮(的)
4815	アゾたんぱく	アゾたんぱく	偶氮朊
4816	アゾイックせんりょう	アゾイックせんりょう	偶氮染料
4817	アタクチックポリマー	アタクチックポリマー	无规(立构)聚合物
4818	アタック	アタック	攻击，进攻，挑战
4819	アタッシェ	アタッシェ	(大使馆丄公使馆的)馆员，外交使节随员
4820	アタッチメント	アタッチメント	附件，配件，辅助镜头
4821	アダクト	アダクト	加合物
4822	アダジオ	アダジオ	缓慢地，宁静地，柔板
4823	アダックス	アダックス	曲角羚羊
4824	アダプター	アダプター	接合器，接头儿，应接器，附加器
4825	アダプト	アダプト	改编，改写，(对外界)适应，适合
4826	アダム	アダム	(圣经中的)亚当
4827	アダムサイト	アダムサイト	亚当毒气，喷嚏性毒气，二苯胺氯胂，暗绿云母
4828	アダリン	アダリン	阿达林
4829	アダルト	アダルト	成人，成人的
4830	アチドージス	アチドージス	酸中毒
4831	アチャラづけ	アチャラづけ	八宝咸菜
4832	アチャラカ	アチャラカ	通俗，滑稽，热闹
4833	アチーブメント	アチーブメント	成就，学习成绩
4834	アチーブメントテスト	アチーブメントテスト	成绩测验，学力测验
4835	アッサイ	アッサイ	最，甚
4836	アッシリア	アッシリア	亚述
4837	アッチェレランド	アッチェレランド	渐快
4838	アットバット	アットバット	打球，轮打次数
4839	アットホーム	アットホーム	(象在家庭里傾僢僾 [傾僢僾]  ///   增高，提高，把后面头发向上梳拢的妇女发型，超过(一定的得分数)
4840	アップターン	アップターン	(滑雪板前头的)朝上翘起，前翘
4841	アップツーデート	アップツーデート	现代的，时新的
4842	アップリケ	アップリケ	补花，嵌花
4843	アップル	アップル	苹果
4844	アテブリン	アテブリン	疟涤平，阿的平
4845	アテンション	アテンション	注意，留神
4846	アテンポ	アテンポ	按原来速度演奏
4847	アデノイド	アデノイド	腺样增殖
4848	アデノシン	アデノシン	腺嘌呤核苷，腺苷
4849	アデノビールス	アデノビールス	腺病毒
4850	アトニー	アトニー	弛缓，无紧张力
4851	アトピー	アトピー	特异反应性，特应性
4852	アトミズム	アトミズム	原子论，原子学说
4853	アトミック	アトミック	原子(能)的
4854	アトム	アトム	原子
4855	アトラクション	アトラクション	加演节目
4856	アトラス	アトラス	地图册，阿特拉斯
4857	アトランダム	アトランダム	任意，胡乱，随便，随意
4858	アトリエ	アトリエ	工作室，画室，雕刻室
4859	アトロピン	アトロピン	阿托品
4860	アド	アド	广告
4861	アドバイザー	アドバイザー	劝告者，顾问
4862	アドバイス	アドバイス	劝告，提意见，建议
4863	アドバルーン	アドバルーン	广告气球
4864	アドバンス	アドバンス	预付，预付款
4865	アドバンテージ	アドバンテージ	(局末平分后)领先(一分)
4866	アドベンチャー	アドベンチャー	冒险，冒险活动
4867	アドミッション	アドミッション	准许进入，许可入场，准许入境，入场费
4868	アドミッタンス	アドミッタンス	导纳
4869	アドミラル	アドミラル	海军上将，海军将官，舰队司令
4870	アドライター	アドライター	广告图案家
4871	アドリブ	アドリブ	临时穿插，即兴演唱，即兴插入的台词，即兴(地)
4872	アドレス	アドレス	住址，地址，瞄准击球
4873	アドレナリン	アドレナリン	肾上腺素
4874	アナウンサー	アナウンサー	广播员，报告员，播音员，播送员
4875	アナウンス	アナウンス	广播，报告，通知
4876	アナクロニズム	アナクロニズム	时代错误，弄错年代，不合时代潮流，落后于时代
4877	アナコンダ	アナコンダ	(南美产的)蟒蛇
4878	アナスチグマート	アナスチグマート	去象散透镜
4879	アナナス	アナナス	凤梨
4880	アナリシス	アナリシス	分析，解析
4881	アナリスト	アナリスト	分析者，精神分析家，证券分析家
4882	アナログコンピューター	アナログコンピューター	模拟计算机
4883	アナロジー	アナロジー	类推，类似
4884	アナーキスト	アナーキスト	无政府主义者
4885	アナーキー	アナーキー	无政府状态，混乱状态
4886	アニス	アニス	茴芹，大茴香
4887	アニマチズム	アニマチズム	物活论，有生观
4888	アニマリズム	アニマリズム	(文艺上的)兽欲主义，野兽主义
4889	アニマル	アニマル	动物，野兽
4890	アニマート	アニマート	活泼地
4891	アニミズム	アニミズム	泛灵论，万物有灵论
4892	アニメーション	アニメーション	动画片，动画制作法
4893	アニリン	アニリン	苯胺，阿尼林
4894	アネクドート	アネクドート	逸话，奇闻
4895	アネトール	アネトール	茴香脑，对丙烯基茴香醚
4896	アネモネ	アネモネ	银莲花属，秋牡丹，双瓶梅，草玉梅
4897	アネモメーター	アネモメーター	风速计
4898	アネロイドきあつけい	アネロイドきあつけい	无液气压表，空盒气压表
4899	アノフェレス	アノフェレス	按蚊，疟蚊，里斑蚊
4900	アノラック	アノラック	带风帽的厚甲克，皮猴
4901	アノード	アノード	阳极，正极
4902	アバンギャルド	アバンギャルド	前卫，先锋，前卫派，先锋派
4903	アバンゲール	アバンゲール	战前派
4904	アバンチュール	アバンチュール	冒险(的恋爱)
4905	アパシー	アパシー	无感情，无感觉，不关心，冷淡
4906	アパルトマン	アパルトマン	公寓
4907	アパート	アパート	公寓
4908	アフォリズム	アフォリズム	警句，箴言，格言
4909	アフガニスタン	アフガニスタン	(亚洲)阿富汗
4910	アフガン	アフガン	一种针织软毛毯，阿富汗猎狗
4911	アフタ	アフタ	口疮，鹅口疮
4912	アフタヌーン	アフタヌーン	下午
4913	アフターケア	アフターケア	病后的调养
4914	アフターサービス	アフターサービス	商品出售后对顾客的服务，保修
4915	アフターバーナー	アフターバーナー	补燃器，加力燃烧室
4916	アフリカ	アフリカ	非洲
4917	アフレコ	アフレコ	后期录音，摄影后录音
4918	アブサン	アブサン	艾酒
4919	アブストラクト	アブストラクト	抽象(的)，抽象派(艺术)，摘要，拔萃
4920	アブノーマル	アブノーマル	异常，变态，不规则
4921	アプザイレン	アプザイレン	绕绳下降
4922	アプトしきてつどう	アプトしきてつどう	爱伯特式铁道，齿轨铁道
4923	アプライト	アプライト	细晶岩
4924	アプラナート	アプラナート	消球差镜，齐明镜，不晕镜
4925	アプリオリ	アプリオリ	先验的，演绎(的)
4926	アプリコット	アプリコット	杏，杏黄色
4927	アプレゲール	アプレゲール	战后派，战后型的人，战后虚无颓废派
4928	アプローチ	アプローチ	接近，靠近，探讨，研究
4929	アプローチライト	アプローチライト	诱导灯
4930	アヘッド	アヘッド	(得分)领先
4931	アベック	アベック	情侣，一对男女
4932	アベニュー	アベニュー	林荫路，大街
4933	アベマリア	アベマリア	万福玛利亚
4934	アベレージ	アベレージ	平均，平均值，击球率
4935	アボガドロのほうそく	アボガドロのほうそく	阿伏加德罗定律
4936	アポイントシステム	アポイントシステム	(医院诊疗时间的)预约制度
4937	アポクロマート	アポクロマート	复消色差透镜
4938	アポステリオリ	アポステリオリ	后天(的)，归纳(的)
4939	アポストロフィ	アポストロフィ	撇号，省字符号
4940	アポスポリー	アポスポリー	无孢子生殖
4941	アポフィライト	アポフィライト	鱼眼石
4942	アポロ	アポロ	阿波罗，太阳神
4943	アマチュア	アマチュア	业余爱好者，业余艺术家，业余运动员
4944	アマチュアバンド	アマチュアバンド	业余乐团，业余波段
4945	アマリリス	アマリリス	孤挺花
4946	アマルガム	アマルガム	汞齐，汞合金
4947	アミ	アミ	朋友，情人
4948	アミトール	アミトール	戊他，安密妥
4949	アミノ	アミノ	氨基(的)
4950	アミノさんはっこう	アミノさんはっこう	氨基酸发酵
4951	アミノエチルスルホンさん	アミノエチルスルホンさん	牛磺酸，氨基乙磺酸
4952	アミノピリン	アミノピリン	氨基比林，匹拉米董
4953	アミューズメント	アミューズメント	娱乐
4954	アミラーゼ	アミラーゼ	淀粉酶
4955	アミルアルコール	アミルアルコール	戊醇
4956	アミロプシン	アミロプシン	胰淀粉酶
4957	アミロペクチン	アミロペクチン	胶淀粉，支链淀粉
4958	アミローズ	アミローズ	(直)链淀粉
4959	アミン	アミン	胺
4960	アメジスト	アメジスト	紫晶，紫水晶，紫宝石，紫玉
4961	アメリカ	アメリカ	美洲，(北美洲)美国
4962	アメリカしろひとり	アメリカしろひとり	美洲结网毛虫，美洲白蛾
4963	アメリカインディアン	アメリカインディアン	美洲印第安人
4964	アメリカナイズ	アメリカナイズ	美国化，美式化
4965	アメリカニズム	アメリカニズム	美国方式，美国习俗，美国派头，美国腔
4966	アメリカン	アメリカン	美国的，美国式(的)，美国人，美国语
4967	アメリカンフットボール	アメリカンフットボール	美国式足球
4968	アメリシウム	アメリシウム	镅
4969	アメンチア	アメンチア	意识混沌状态，精神错乱
4970	アメーバ	アメーバ	阿米巴，变形虫
4971	アメーバうんどう	アメーバうんどう	变形运动
4972	アラカルト	アラカルト	照菜单点的菜，单点的菜
4973	アラニン	アラニン	丙氨酸
4974	アラビア	アラビア	阿拉伯
4975	アラビアゴム	アラビアゴム	阿拉伯树胶
4976	アラブ	アラブ	阿拉伯人，阿拉伯马
4977	アラベスク	アラベスク	阿拉伯式装饰图案，蔓藤花纹，阿拉伯风格的(装饰音多的)乐曲
4978	アランダム	アランダム	铝氧粉，刚铝石
4979	アラー	アラー	(伊斯兰教的)真主，阿拉
4980	アリア	アリア	唱段，咏叹调，抒情小曲
4981	アリアン	アリアン	亚里安人种
4982	アリザリン	アリザリン	茜素
4983	アリバイ	アリバイ	(犯罪时)不在现场(的证明)
4984	アリューシャンていきあつ	アリューシャンていきあつ	阿留申(群岛)方面(冬季)发生的低气压
4985	アリル	アリル	丙烯基
4986	アルカイスム	アルカイスム	古风，古语，拟古体，(艺术上的)拟古主义
4987	アルカイック	アルカイック	古拙(的)，古代式(的)，古风(的)
4988	アルカリ	アルカリ	碱，强碱
4989	アルカリせい	アルカリせい	碱性
4990	アルカロイド	アルカロイド	生物碱
4991	アルカロージス	アルカロージス	碱中毒
4992	アルキッドじゅし	アルキッドじゅし	醇酸树脂
4993	アルキメデスのげんり	アルキメデスのげんり	阿基米德定律
4994	アルキル	アルキル	烷基，烃基
4995	アルギニン	アルギニン	精氨酸
4996	アルギンさん	アルギンさん	藻朊酸
4997	アルクトゥルス	アルクトゥルス	大角(牧夫座的兛星)
4998	アルコーブ	アルコーブ	房屋中墙壁凹进的部分，壁龛
4999	アルコール	アルコール	酒精，乙醇，酒
5000	アルコールちゅうどく	アルコールちゅうどく	酒精中毒(弄客)，醇中毒，中酒毒
5001	アルコールづけ	アルコールづけ	酒精处理，用酒精保藏
5002	アルコールはっこう	アルコールはっこう	酒精发酵，成(乙)醇发酵
5003	アルコールランプ	アルコールランプ	酒精灯
5004	アルゴざ	アルゴざ	南船座
5005	アルゴリズム	アルゴリズム	算法，阿拉伯式记数法，阿拉伯数字
5006	アルゴル	アルゴル	(电算)算法语言
5007	アルゴルがたへんこうせい	アルゴルがたへんこうせい	大陵型变光星
5008	アルゴン	アルゴン	氩
5009	アルジェリア	アルジェリア	(润涧)阿尔及利亚
5010	アルゼンチン	アルゼンチン	(偾铭叁涧)阿根廷
5011	アルタイご	アルタイご	阿尔泰语
5012	アルタイル	アルタイル	牵牛星，河鼓二(天鹰座兛)
5013	アルチザン	アルチザン	工匠，技工，工匠艺术家
5014	アルデバラン	アルデバラン	毕宿五(金牛座兛)
5015	アルデヒド	アルデヒド	醛，乙醛
5016	アルト	アルト	女低音(歌手)，中音，中音部
5017	アルニカ	アルニカ	山金车花
5018	アルバイト	アルバイト	(课余的)副业，工读，课余搞副业的人，工读生
5019	アルバニア	アルバニア	(菠涧)阿尔巴尼亚
5020	アルバム	アルバム	相片簿，照相簿，影集，纪念册
5021	アルパカ	アルパカ	(南美的)羊驼，羊驼毛，羊驼呢
5022	アルピニスト	アルピニスト	登山运动员，登山运动家
5023	アルファ	アルファ	阿耳法，最初，开始，未知数
5024	アルファせん	アルファせん	兛射线
5025	アルファほうかい	アルファほうかい	兛衰变
5026	アルファりゅうし	アルファりゅうし	兛粒(子)，兛质点
5027	アルファセルロース	アルファセルロース	兛纤维素，子种纤维素
5028	アルファベット	アルファベット	拉丁字母，字母序列，字母表，初步
5029	アルブミン	アルブミン	白朊，清朊
5030	アルヘイとう	アルヘイとう	糖瓜，糖棍儿
5031	アルペンシュトック	アルペンシュトック	铁头登山杖
5032	アルボース	アルボース	一种发樟脑气味的淡黄色消毒剂
5033	アルマイト	アルマイト	耐酸铝，防蚀铝
5034	アルマジロ	アルマジロ	犰狳
5035	アルマナック	アルマナック	历书，年鉴
5036	アルミ	アルミ	铝，铝铜
5037	アルミせいどう	アルミせいどう	铝铜
5038	アルミナ	アルミナ	矾土，氧化铝
5039	アルミニウム	アルミニウム	铝
5040	アルメニア	アルメニア	亚美尼亚
5041	アレキサンドルせき	アレキサンドルせき	变(色)石(一种金缘宝石)
5042	アレキシン	アレキシン	防御素，补体
5043	アレグレット	アレグレット	稍快地，小快板
5044	アレグロ	アレグロ	愉快地，迅速地，快板
5045	アレゴリー	アレゴリー	讽喻，比喻，寓言
5046	アレニウスのしき	アレニウスのしき	阿雷尼厄斯方程式
5047	アレルギー	アレルギー	变态反应，变应性，过敏症
5048	アレルゲン	アレルゲン	变(态反)应原，变(态反)应素
5049	アレン	アレン	丙二烯
5050	アレンジ	アレンジ	整理，排列，分类，布置
5051	アロイ	アロイ	合金，齐
5052	アロイン	アロイン	芦荟素
5053	アロエ	アロエ	芦荟，芦荟属
5054	アロザウルス	アロザウルス	异龙
5055	アロハシャツ	アロハシャツ	夏威夷(衬)衫，香港衫
5056	アロフェン	アロフェン	水铝英石
5057	アワー	アワー	时间
5058	アンカー	アンカー	锚，接力赛中最后的跑者，锚栓，基础螺栓
5059	アンキロザウルス	アンキロザウルス	甲龙
5060	アンギーナ	アンギーナ	咽峡炎，急性扁桃腺炎
5061	アンクルサム	アンクルサム	山姆大叔
5062	アングラ	アングラ	地下
5063	アングリカンきょうかい	アングリカンきょうかい	英国圣公会
5064	アングル	アングル	角(度)，观点，见地，角钢
5065	アングロサクソン	アングロサクソン	盎格鲁撒克逊人-
5066	アンケート	アンケート	通讯调查，征询意见
5067	アンコール	アンコール	(妥滇)重演，再演奏一次，再来一个
5068	アンゴラ	アンゴラ	(非洲)安哥拉
5069	アンゴラうさぎ	アンゴラうさぎ	安哥拉兔
5070	アンゴラやぎ	アンゴラやぎ	安哥拉山羊
5071	アンサンブル	アンサンブル	用同样料子做的一套女服，统一的效果，调和，合唱(团)
5072	アンシャンレジーム	アンシャンレジーム	(法国1789年革命前的)旧封建社会制度，旧秩序
5073	アンジェラス	アンジェラス	通告祈祷(的钟声)
5074	アンソロジー	アンソロジー	文集，文选，诗选，诗集
5075	アンタゴニズム	アンタゴニズム	对抗，敌对，对抗性，对抗作用
5076	アンタビュース	アンタビュース	解酒剂
5077	アンタレス	アンタレス	心宿二，大火(天蝎座兛)
5078	アンダルサイト	アンダルサイト	红柱石
5079	アンダンテ	アンダンテ	行板，进行的，流动的
5080	アンダーウエア	アンダーウエア	内衣，傾儞僟乕僇僢僩 [傾儞僟乕僇僢僩]  ///   下旋球，削球
5081	アンダーシャツ	アンダーシャツ	贴身内衣，汗衫
5082	アンダースロー	アンダースロー	手不过肩的投球，低手投球
5083	アンダーパー	アンダーパー	标准打数以下
5084	アンダーライン	アンダーライン	字下线
5085	アンチ	アンチ	反，反对
5086	アンチクライマックス	アンチクライマックス	(修辞学中的)突降法，渐降法
5087	アンチクリーパー	アンチクリーパー	(钢轨)防爬器，防潜动装置，防漏电设备
5088	アンチック	アンチック	粗体字，黑体字，希腊丄罗马的古典美术丄
5089	アンチテーゼ	アンチテーゼ	反题，对照，对立面
5090	アンチノック	アンチノック	抗震，抗爆
5091	アンチピリン	アンチピリン	安替比林
5092	アンチモン	アンチモン	锑
5093	アンチモンバター	アンチモンバター	三氯化锑，锑酪
5094	アンツーカー	アンツーカー	雨后快干能立即使用的运动场，红沙土
5095	アンテナ	アンテナ	天线
5096	アンデパンダン	アンデパンダン	独立派，反正统派
5097	アントシアン	アントシアン	花色素
5098	アントニム	アントニム	反义词，反义语
5099	アントラセン	アントラセン	蒽
5100	アンドラ	アンドラ	(欧洲)安道尔
5101	アンドロメダだいせいうん	アンドロメダだいせいうん	仙女座星云
5102	アンニュイ	アンニュイ	厌倦，倦怠
5103	アンバランス	アンバランス	不平衡
5104	アンパイア	アンパイア	裁判员
5105	アンビシャス	アンビシャス	野心勃勃，有雄心
5106	アンビル	アンビル	砧，砧座，测砧
5107	アンフォ	アンフォ	硝铵油剂(炸药)
5108	アンプ	アンプ	放大器
5109	アンプル	アンプル	安瓿
5110	アンペア	アンペア	安培
5111	アンペラ	アンペラ	果石龙刍，席子，草席，台湾席
5112	アンメータ	アンメータ	电流计，安培计
5113	アンモナイト	アンモナイト	菊石，鹦鹉螺化石
5114	アンモニア	アンモニア	氨，阿摩尼亚
5115	アンモニウム	アンモニウム	铵
5116	アンモニウムイオン	アンモニウムイオン	铵离子
5117	アンモノリシス	アンモノリシス	氨解(作用)
5118	アンラッキー	アンラッキー	不幸
5119	アーガス	アーガス	百眼巨人
5120	アーク	アーク	弧光
5121	アーケード	アーケード	拱廊，连(环)拱廊，有拱顶的商店街
5122	アーサかんこうど	アーサかんこうど	美国标准规格胶卷感(光)度
5123	アース	アース	地球，大地，地线，接地
5124	アースダム	アースダム	土坝
5125	アースライン	アースライン	接地母线，地下电缆线路
5126	アーチ	アーチ	拱，拱门，拱桥，弓形结构
5127	アーチェリー	アーチェリー	射箭(术)
5128	アーチスト	アーチスト	美术家，艺术家
5129	アーチダム	アーチダム	拱坝
5130	アーティクル	アーティクル	篇章，(报刊上的)文章，小论文，条款
5131	アーティフィシャル	アーティフィシャル	人工的，人造的
5132	アート	アート	艺术，美术，技术，技艺
5133	アートシアター	アートシアター	艺术电影院，艺术剧场
5134	アートタイトル	アートタイトル	艺术字幕
5135	アートタイプ	アートタイプ	阿胶版
5136	アートディレクター	アートディレクター	美术指导
5137	アートデザイナー	アートデザイナー	美术设计师
5138	アートペーパー	アートペーパー	铜版纸，美术印刷纸，照片印刷纸
5139	アーバン	アーバン	城市的，都市的
5140	アーベルぐん	アーベルぐん	交换群，阿贝尔群
5141	アーベルせきぶん	アーベルせきぶん	阿贝尔积分
5142	アーベント	アーベント	晚会，音乐晚会，电影晚会
5143	アーマチュア	アーマチュア	电枢，转子，加强料，钢筋
5144	アーム	アーム	胳臂，听筒，扶手，机体
5145	アームストロングほう	アームストロングほう	安式炮
5146	アームチェア	アームチェア	扶手椅，安乐椅
5147	アームホール	アームホール	袖窿
5148	アーメン	アーメン	阿门
5149	アーモンド	アーモンド	杏仁，巴旦杏，扁桃
5150	アーリアご	アーリアご	雅利安语
5151	アーリアじん	アーリアじん	雅利安傾乕儖僄僀僠偄傫偟 [傾乕儖僄僀僠偄傫偟]  ///   因子，罗猴因子
5152	アールエイチマイナス	アールエイチマイナス	Rh(-)血型
5153	アールヌーボー	アールヌーボー	新艺术派
5154	イ	イ	A音
5155	イちょう	イちょう	A调
5156	イアソン	jason	伊阿宋
5157	イアドラム	イアドラム	耳鼓，鼓膜
5158	イエス	イエス	是，对
5159	イエスキリスト	イエスキリスト	耶麘(基督)
5160	イエズスかい	イエズスかい	耶麘会
5161	イエティ	イエティ	雪人，耶提，野人
5162	イエナガラス	イエナガラス	耶那光学玻璃，耐热玻璃
5163	イエメン	イエメン	(亚洲)也门
5164	イエローブック	イエローブック	黄皮检疫证
5165	イエローページ	イエローページ	黄页分类
5166	イオニアしき	イオニアしき	(古希腊)爱奥尼亚式柱型
5167	イオニウム	イオニウム	锾
5168	イオン	イオン	离子
5169	イオンか	イオンか	电离(作用)
5170	イオンインプランテーション	イオンインプランテーション	离子种入(法)
5171	イオンエキスチェンジクロマトグラフィー	イオンエキスチェンジクロマトグラフィー	离子交换色层法
5172	イカロス	イカロス	埃卡露斯，伊卡鲁斯
5173	イキシア	イキシア	小鸢尾，非洲鸢尾
5174	イギリス	イギリス	英国
5175	イギリスガロン	イギリスガロン	英国加仑
5176	イギリススパナ	イギリススパナ	活扳子，英国扳子
5177	イクラ	イクラ	盐渍麜鱼子
5178	イグアノドン	イグアノドン	禽龙
5179	イグナイトロン	イグナイトロン	引燃管，点火管
5180	イグニション	イグニション	点火，发火，引燃，发火装置
5181	イコン	イコン	圣像，人像，画像
5182	イコール	イコール	等号，相等，等于
5183	イザヤ	イザヤ	以赛亚
5184	イスパニア	イスパニア	西班牙
5185	イスラエル	イスラエル	以色列
5186	イスラムきょう	イスラムきょう	伊斯兰教，回教
5187	イスランドごけ	イスランドごけ	冰岛地衣，岛生苔
5188	イズム	イズム	思想，主义
5189	イソ	イソ	国际(工业规格)标准化机构，国际标准化组织
5190	イソきっそうさん	イソきっそうさん	异戊酸
5191	イソアリレン	イソアリレン	丙二烯
5192	イソオクタン	イソオクタン	异辛烷
5193	イソコロイド	イソコロイド	异胶质
5194	イソップものがたり	イソップものがたり	伊索寓言
5195	イソニコチンさん	イソニコチンさん	异烟酸
5196	イソパーム	イソパーム	恒导磁率铁镍合金
5197	イソブタン	イソブタン	异丁烷
5198	イソブチレン	イソブチレン	异乙烯，别丁烯
5199	イソプレン	イソプレン	异戊二烯
5200	イソプロピル	イソプロピル	异丙基
5201	イソペンタン	イソペンタン	异戊烷
5202	イソロイシン	イソロイシン	异白氨酸，异亮氨酸
5203	イタリア	イタリア	意大利
5204	イタリック	イタリック	欧文斜体字
5205	イッテルビウム	イッテルビウム	镱
5206	イットリウム	イットリウム	钇
5207	イッド	イッド	(构成染色体的)染色粒
5208	イデア	イデア	理想
5209	イディオム	イディオム	习语，成语，惯用语
5210	イデオロギー	イデオロギー	思想体系，观念形态，意识形态，政治思想
5211	イデオローグ	イデオローグ	观念学派，(政治上的)空想家
5212	イデー	イデー	观念，理念
5213	イド	イド	伊特，本我
5214	イドラ	イドラ	先入的偏见，盲目崇拜的偶像
5215	イニシアチブ	イニシアチブ	创始，发起，首倡，主动
5216	イニシアル	イニシアル	姓名首字母，开头字母
5217	イニング	イニング	局，回合，盘
5218	イヌリン	イヌリン	菊糖，土木香粉
5219	イノけいさんえん	イノけいさんえん	链硅酸盐
5220	イノシット	イノシット	肌醇
5221	イノシンさん	イノシンさん	肌甙酸
5222	イノベーション	イノベーション	革新，刷新，新发明，技术革新
5223	イヒチオール	イヒチオール	鱼石脂
5224	イフィゲネイア	イフィゲネイア	伊芙琴尼亚
5225	イブ	イブ	节日前夜
5226	イブ	イブ	(圣经中的)夏娃
5227	イブニング	イブニング	傍晚，黄昏，晚上，(妇女)夜礼服
5228	イブニングコート	イブニングコート	(男子)夜礼服，燕尾服，(妇女夜礼服的)长上衣
5229	イブニングドレス	イブニングドレス	(妇女)夜礼服
5230	イベント	イベント	事件，事变，大事，集会
5231	イペリット	イペリット	芥子气
5232	イマジズム	イマジズム	意象主义
5233	イマジネーション	イマジネーション	想象，空想，想象力，创造力
5234	イマーゴ	イマーゴ	意象
5235	イミテーション	イミテーション	模仿，仿造，仿造品，模制品
5236	イミノき	イミノき	亚氨基
5237	イミン	イミン	亚胺
5238	イメージ	イメージ	形象，心象，意象，表象
5239	イメージかん	イメージかん	移象管，显象管，摄象管
5240	イメージづける	イメージづける	给予印象，赋予印象
5241	イメージアップ	イメージアップ	提高声誉，改善印象
5242	イメージダウン	イメージダウン	降低声誉，败坏形象
5243	イメージチェンジ	イメージチェンジ	改变印象，转变看法
5244	イメージポイント	イメージポイント	像点
5245	イヤホーン	イヤホーン	耳机，听筒，收话机，译意风
5246	イヤホーンジャック	イヤホーンジャック	耳机塞孔
5247	イヤマーキング	イヤマーキング	(资金)分别保管，另立专款户头，指定用途
5248	イヤマーク	イヤマーク	耳戳，委托保管，专款，专用款项
5249	イヤリング	イヤリング	耳环，耳饰
5250	イヤーブック	イヤーブック	年鉴，年报
5251	イラク	イラク	伊拉克
5252	イラショナル	イラショナル	无理，不合理，荒唐，无理数
5253	イラジエーション	イラジエーション	光渗
5254	イラスト	イラスト	插图，解说图，图解
5255	イラストレーター	イラストレーター	插图画家
5256	イラン	イラン	伊朗
5257	イリジウム	イリジウム	铱
5258	イリス	イリス	爱利斯，彩虹女神
5259	イリドスミン	イリドスミン	铱锇矿
5260	イリュージョン	イリュージョン	幻影，幻想，幻觉，错觉
5261	イルマン	イルマン	副神甫
5262	イルミネーション	イルミネーション	灯饰，灯彩，灯光装饰
5263	イルリガートル	イルリガートル	冲洗器，灌注器
5264	イレウス	イレウス	肠梗阻
5265	イレギュラー	イレギュラー	不规则，不整齐，不正规
5266	イレブン	イレブン	(十一人组成的)足球队(员)
5267	イン	イン	小旅馆，客栈
5268	イン	イン	界内(球)，后半场(的九个洞)，后九穴
5269	インカ	インカ	印加人，印加王族
5270	インカーブ	インカーブ	内曲球
5271	インキ	インキ	墨水，油墨，墨油
5272	インキけし	インキけし	消字灵
5273	インキつぼ	インキつぼ	墨水壶
5274	インキスタンド	インキスタンド	墨水台
5275	インクライン	インクライン	倾斜面索车
5276	イングランド	イングランド	英格兰，英国
5277	イングリッシュ	イングリッシュ	英语，英国人
5278	イングリッシュホルン	イングリッシュホルン	英国管
5279	インコース	インコース	里圈，后半场，后九穴，近身球
5280	インコーナー	インコーナー	本垒内角
5281	インゴット	インゴット	铸块，铸锭
5282	インサイダー	インサイダー	局内人，知道内情的人，内部的人，会员
5283	インサイド	インサイド	内侧，界内(球)，线内(球)，有发球权的一方
5284	インサイドワーク	インサイドワーク	斗智战术
5285	インサート	インサート	插入，插入物，插入镜头
5286	インザホール	インザホール	不利
5287	インシデント	インシデント	偶发事件，意外事件，(小说中的)小事件
5288	インシュリン	インシュリン	胰岛(激)素，因苏林
5289	インシュート	インシュート	内曲球
5290	インジウム	インジウム	铟
5291	インジカン	インジカン	尿兰母
5292	インジケーター	インジケーター	指示器，示压计，指压器，示功器
5293	インジゴ	インジゴ	靛蓝，蓝色
5294	インジルビン	インジルビン	靛玉红
5295	インスタマチックカメラ	インスタマチックカメラ	快速全自动照相机
5296	インスタント	インスタント	即席，稍加工即可，速成
5297	インスタントしょくひん	インスタントしょくひん	快速食品，方便食品
5298	インスティテューション	インスティテューション	制度，规定，学会，协会
5299	インスティテュート	インスティテュート	会，学会，协会，学院
5300	インストラクション	インストラクション	指令，指示
5301	インストラクター	インストラクター	指导员，训练员，教练，艺术指导
5302	インストールメント	インストールメント	分期付款，摊付金
5303	インスピレーション	インスピレーション	灵感
