word,phonetic,translation
cordite,'kɒ:dait,n. 无烟线状火药\n[化] 柯达炸药; 柯戴特(硝棉、硝化甘油、石油脂炸药)
cordless,'kɒ:dlis,"a. 无绳索的, 交直流两用的"
cordoba,'kɔ:dәuvә,科尔多瓦（阿根廷城市）
cordon,'kɒ:dәn,"n. 哨兵线, 非常警戒线, 饰带\nvt. 用警戒线围住"
cordovan,'kɔ:dәvәn,"n. 科尔多瓦皮革, 高级皮革, 用科尔多瓦皮制的皮鞋\na. 科尔多瓦皮制的"
corduroy,'kɒ:dәrɒi,"n. 灯芯绒, 用灯芯绒布制的衣服, 灯芯绒裤子\na. 灯芯绒做的, (路、桥)用木头铺排成的"
cordwood,'kɔ:dwud,n. 成捆出售的木材\n[计] 积木式的
CORE,kɒ:,"n. 核心, 果心, 要点\nvt. 挖...的核\n[计] 内核, 核心网"
coreopsis,.kɒ:ri'ɒpsis,n. 金鸡菊
corgi,'kɔ:^i,n. 小狗
coriander,",kɔri'ændә","n. 芫荽\n[医] 芫荽, 胡荽"
Corinthian,kә'rinθiәn,"n. 科林斯人, 花花公子, 业余运动家\na. 科林斯的, 古希腊科林斯式的, 科林斯人的"
cork,kɒ:k,"n. 软木塞, 软木树, 软木\n[化] 木栓"
corkage,'kɒ:kidʒ,"n. 拔瓶塞, 开瓶费"
corkboard,'kɔ:kbɔ:d,"n. (绝热)软木板,软木公告板"
corked,kɔ:kt,"a. 塞子塞住的, 用软木塞炭涂黑的, 有塞子气味的, (美)(非正式)喝醉酒的"
corker,'kɒ:kә,"n. 塞瓶塞的人\n[建] 压塞机, 木塞压紧机"
corkscrew,'kɒ:kskru:,"n. 拔塞钻\na. 螺旋形的\nvt. 硬拉出, 探听\nvi. 曲折行进"
corky,'kɒ:ki,"a. 软木的, 活泼的"
corm,kɒ:m,n. 球茎\n[医] 球茎
cormorant,'kɒ:mәrәnt,"n. 鸬鹚, 贪婪的人\na. 贪婪的"
corn,kɒ:n,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼\nvt. 使成颗粒, 腌"
cornball,'kɔ:nbɔ:l,"a. 乡巴佬的, 陈腐的, 老派的\nn. 粗俗陈腐的人, 过时货"
cornbread,ˈkɔ:nbred,n. 玉米面包
corncob,'kɔ:nkɔb,"n. 玉米棒子的芯, 玉米穗轴, 玉米芯, 穗轴, 玉米棒子"
cornea,'kɒ:niә,n. 角膜\n[医] 角膜
corneal,'kɒ:niәl,a. 角膜的\n[医] 角膜的
corned,kɒ:nd,"a. 结籽的, 盐腌的"
corner,'kɒ:nә,"n. 角落, 转角, 窘境\nvt. 迫至一隅, 垄断, 使陷入绝境\nvi. 相交成角, 垄断\n[计] 边角"
cornerback,'kɔ:nәbæk,n. (美式橄榄球)侧卫
cornered,'kɔ:nәd,a. 有...角的
cornering,'kɔ:nərɪŋ," 转弯, 回转"
cornerstone,'kɔ:nәstәjn,"n. 奠基石, 基础"
cornet,'kɒ:nit,"n. 圆锥形纸袋, 短号\n[医] 小助听筒"
corneum,'kɔniәm,[医] 角质层
cornfield,'kɒ:nfi:ld,n. 玉米田
cornflower,'kɒ:nflauә,n. 矢车菊
cornhusk,'kɔ:nhʌsk,n. 玉米的壳
cornice,'kɒ:nis,n. 檐口\nvt. 给...装檐口
corniche,'kɔ:niʃ,n. 沿峭壁的路
cornish,'kɔ:niʃ,a. 康沃尔人的；康沃尔郡的
cornmeal,'kɒ:nmi:l,"n. 玉蜀黍粉, 玉米片, 麦片"
cornstalk,'kɒ:nstɒ:k,"n. 谷类的秆, 玉米秆"
cornstarch,'kɒ:nstɑ:tʃ,n. 玉米淀粉\n[医] 玉蜀黍淀粉
cornucopia,.kɒ:nju'kәupiә,n. 丰盛\n[医] 外侧隐窝(第四脑室)
corny,'kɒ:ni,"a. 谷类的, 乡巴佬似的, 粗野的\n[建] 角制的, 角(质)的"
corollary,kә'rɒlәri,"n. 必然的结果, 系, 推论"
corona,'kɔrәnә,"n. 冠, 冠状物, 副冠, 根颈, 头顶, 牙冠, 檐板, 日冕, 月华, 日华, 电晕, 光圈\n[计] 电晕, 冠"
coronagraph,"kә'rәunә,^ræf",n. 日冕仪
coronal,'kɒrәnәl,"n. 冠, 花冠, 冠状物\na. 冠的, 花冠的, 头顶的"
coronary,'kɒrәnәri,"a. 冠的, 花冠的, 冠状的\n[医] 冠状的"
coronation,.kɔ:rә'neiʃәn,n. 加冕礼
coronavirus,",kɔrәnә'vairәs","n. [微]日冕形病毒,冠状病毒"
coroner,'kɒrәnә,n. 验尸官\n[医] 检验员
coronet,'kɒrәnit,"n. 冠, 小冠冕, 冠状头饰\n[医] 马蹄冠"
corporal,'kɒ:pәrәl,"n. 下士\na. 肉体的, 身体的, 个人的"
corporate,'kɒ:pәrit,"a. 社团的, 合伙的, 公司的\n[经] 团体的, 法人的, 社团的"
corporation,.kɒ:pә'reiʃәn,"n. 公司, 合作, 法人团体\n[法] 法人团体, 社团, 法人"
corporatism,'kɔ:pәrәtizәm,n. '各阶级合作'主义
corporatist,'kɔ:pәrәtist,"n. 组合主义者,社团主义者"
corporative,'kɒ:pәreitiv,a. 法人的
corporatization,kɔ:pərətaɪ'zeɪʃn,"n. 公司化, 企业化"
corporeal,kɒ:'pɒ:riәl,"a. 肉体的, 有形的, 物质的\n[法] 有体的, 具体的, 物质的"
corporeality,kɒ:.pɒ:ri'æliti,"n. 物质性, 肉体的存在"
corps,kɒ:,"n. 军, 队, 部队, 兵种\n[医] 对, 团; 体, 物体"
corpse,kɒ:ps,n. 尸体\n[医] 尸体
corpsman,'kɒ:mәn,n. 战地医护兵
corpulence,'kɒ:pjulәns,n. 肥胖\n[医] 肥胖
corpulent,'kɒ:pjulәnt,"a. 肥大的, 肥胖的\n[医] 肥胖的"
corpus,'kɒ:pәs,"n. (事物的)主体, 文集, 本金, 语料库\n[医] 体"
corpuscle,'kɒ:pʌsәl,"n. 细胞, 血球, 微粒\n[计] 微粒, 粒子"
corral,kɒ:'rɑ:l,n. 畜栏\nvt. 把...关进畜栏
correct,kә'rekt,"a. 正确的, 合适的\nvt. 改正, 订正"
correctable,,[计] 可校正的
corrected,kә'rektid,a. 修正的；校正的；折算的
correcting,,[计] 校正的
correction,kә'rekʃәn,"n. 订正, 改正, 改正的地方\n[化] 校正"
correctional,kә'rekʃәnәl,"a. 改正的, 修正的, 矫正的"
corrective,kә'rektiv,"a. 纠正的, 改正的, 矫正的\nn. 改善法, 矫正物"
correctly,kә'rektli,"adv. 对, 正确, 恰当, 符合一般性准则, 符合行为准则, 端正, 符合"
correctness,,[计] 正确性\n[经] 正确性
corrector,kә'rektә,"n. 修正者, 校正者, 校对者\n[化] 修正器"
correlate,'kɒrәleit,"n. 有相互关系的东西, 相关物\nvt. 使有相互关系\nvi. 相关"
correlated,'kɒrәleitid,a. 有相互关系的
correlation,.kɒrә'leiʃәn,"n. 相互关系, 相关, 关联\n[医] 相关, 联系"
correlational,, 相关的
correlative,kә'relәtiv,"a. 有相互关系的, 相关的\nn. 相关物, 相关语, 关联词"
correspond,.kɒri'spɒnd,"vi. 符合, 通信, 相当\n[法] 符合, 一致, 相当"
correspondence,.kɒri'spɒndәns,"n. 相符, 通信, 信件\n[医] 对应, 相对"
correspondent,.kɒri'spɒndәnt,"n. 通讯记者, 通信者\n[经] 客户, 代理商行, 代理银行"
corresponding,.kɒri'spɒndiŋ,"a. 相当的, 一致的, 通信的\n[计] 对应"
correspondingly,,"adv. 相应地, 相对地"
corrida,kɒ:'ri:ðɑ:,n. 斗牛
corridor,'kɒridɒ:,"n. 走廊, 回廊, 人口密集地带"
corroborate,kә'rɒbәreit,"vt. 巩固, 确证\n[法] 确证, 确定, 证实"
corroborating,kəˈrɔbəˌreɪtɪŋ,"v. 证实, 支持（某种说法、信仰、理论等）( corroborate的现在分词 )"
corroboration,kә.rɒbә'reiʃәn,"n. 确实, 确证, 确证的事实\n[法] 加强证据, 独立证据, 确证"
corroborative,kә'rɔbәrәtiv,"a. 确证的\n[法] 确证的, 确定的"
corrode,kә'rәud,"vt. 使腐蚀, 侵蚀, 破坏\nvi. 被侵蚀, 起腐蚀作用"
corroded,kəˈrəudid,"a. 已被腐蚀的\nv. 使腐蚀, 侵蚀( corrode的过去式和过去分词 )"
corrosion,kә'rәuʒәn,"n. 腐蚀, 侵蚀, 腐蚀产生的物质, 铁锈, 锈\n[计] 腐蚀"
corrosive,kә'rәusiv,"a. 腐蚀的, 腐蚀性的, 有害的\nn. 腐蚀物, 腐蚀剂"
corrugated,'kɒrugeitid,"a. 皱纹的, 波状的\n[医] 波纹的, 皱状的"
corrugation,.kɒru'geiʃәn,"n. 起皱, 波纹, 皱状\n[电] 波形, 棱皱"
corrupt,kә'rʌpt,"a. 腐败的, 贪污的, 讹误充斥的\nvt. 使腐烂, 腐蚀, 使恶化\nvi. 腐烂, 堕落"
corrupted,,a. 毁坏的；腐败的；崩溃的
corruptible,kә'rʌptәbl,"a. 易腐败的, 易堕落的, 可收买的"
corrupting,kəˈrʌptɪŋ,v. （使）败坏( corrupt的现在分词 ); （使）腐化; 引起（计算机文件等的）错误; 破坏
corruption,kә'rʌpʃәn,"n. 腐败, 堕落, 贪污\n[计] 论误"
corruptive,kә'rʌptiv,"a. 使腐败的, 腐败性的, 使堕落的"
corruptly,kə'rʌptlɪ,"adv. 腐败（堕落）地, 可被收买的"
corsage,kɒ:'sɑ:ʒ,"n. 女服胸部, 胸衣, 装饰花"
corsair,'kɒ:sєә,"n. 海盗, 海盗船, 回教徒的私掠船"
corset,'kɒ:sit,"n. 紧身褡, 妇女的胸衣\n[医] 围腰, 胸衣"
corseted,'kɔ:sɪtɪd," 带有胸衣的, 穿着胸衣的"
Corsican,'kɔ:sikәn,"a. 科西嘉的, 科西嘉方言的, 科西嘉人的\nn. 科西嘉人, 科西嘉方言"
cortege,kɒ:'teiʒ,"n. 行列, 一队扈从, 一队随从"
cortex,'kɒ:teks,"n. 皮层\n[医] (树)皮; 皮质, 皮层"
cortical,'kɒ:tikәl,"a. 皮层的\n[医] (树)皮的; 皮质的, 皮层的"
corticosteroid,",kɔtikәu'stiәrɔid","n. 皮质类固醇\n[医] 皮质甾(类)(化学), 皮质类固醇(生化)"
cortisol,'kɔ:tisɔl,"n. 皮质醇, 氢化可的松\n[化] 皮质醇; 皮质甾醇; 氢化可的松"
cortisone,'kɒ:tizәun,n. 可的松\n[化] 11-脱氢-17-羟皮质酮; 11-脱氢-17-羟皮质甾酮; 可的松; 皮质酮
corundum,kә'rʌndәm,"n. 刚玉, 金刚砂\n[化] 刚玉"
coruscate,'kɒrәskeit,"vi. 闪烁, 熠熠生辉, 焕发"
corvette,kɔ:'vet,"n. 克尔维特式轻巡航舰, 小型护舰"
cos,kɔs,"n. 余弦\n[医] 寇斯(爱琴海一岛屿,Hippocrates的出生地)"
cosine,'kәusain,n. 余弦\n[电] 余弦
cosmetic,kɒz'metik,n. 化妆品\na. 化妆用的
cosmetically,kɔz'metikli,"adv. 从美容方面, 通过化妆"
cosmetics,,n. 装饰品；化妆品（cosmetic的复数）
cosmetologist,",kɔzmә'tɔlәdʒist",n. 整容专家
cosmetology,.kɒzmә'tɒlәdʒi,n. 美容术\n[医] 美容学
cosmic,'kɒzmik,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的\n[医] 宇宙的"
cosmically,'kɒzmikәli,"adv. 按照宇宙法则, 大规模"
cosmogony,kɒz'mɒgәni,"n. 宇宙的产生, 宇宙进化论"
cosmological,.kɒzmә'lɒdʒikl,"a. 宇宙哲学的, 宇宙论的"
cosmologist,kɒz'mɒlәdʒist,"n. 宇宙学家, 宇宙论者"
cosmology,kɒz'mɒlәdʒi,"n. 宇宙哲学, 宇宙论\n[电] 宇宙论"
cosmonaut,'kɒzmәnɒ:t,n. 宇航员
cosmopolitan,",kɔzmә'pɔlitәn","a. 世界主义的, 世界性的, 全世界的, 遍生的, 不偏狭的, 卓有见识的\nn. 世界主义者, 世界性"
cosmos,'kɔzmɔs,"n. 宇宙, 秩序, 和谐, 大波斯菊\n[医] 大波斯菊"
Cossack,'kɔsæk,"n. 哥萨克, 武装镇压队队员, 哥萨克轻骑兵, 哥萨克人\na. 哥萨克的, 哥萨克人的"
cosset,'kɒsit,"n. 供玩赏的小动物, 爱畜\nvt. 宠爱, 珍爱, 溺爱"
cost,kɒst,"n. 代价, 价值, 费用\nvi. 花费\nvt. 使失去, 值, 使花费"
costal,'kɒstl,"a. 肋骨的, 具中脉的\n[医] 肋的"
costing,'kɒstiŋ,"n. 成本计算, 成本会计\n[经] 成本计算"
costless,,"a. 没有成本的, 不需花钱的"
costly,'kɒstli,"a. 昂贵的, 奢华的, 费用大的"
costume,'kɒstju:m,"n. 装束, 服装"
costumed,ˈkɒstju:md,v. （戏剧或电影的）戏装( costume的过去分词 ); 服装; 女外套; （某地或某历史时期的）服装
costumer,"'kɔstju:mә(r), kɔ'stju:-","n. 做服装的人, 服装商"
costuming,'kɔstju:miŋ,"n. 衣料, 服装"
cosy,,a. 温暖舒适的\nn. 保暖套
cot,kɒt,"n. 行军床, 小屋, (家畜等的)棚, (家畜等的)栏\n[医] 指套; 小床"
cote,kәut,"n. 棚, 窝, 栏\n[医] 阴极断电强直"
coterie,'kәutәri,"n. 同人, 圈内人, 小集团"
coterminous,kәu'tә:minәs,"a. 相连的, 连接的"
cotillion,"kә'tiljәn, kәu-","n. 一种类似四对舞伴方块舞的交际舞, 一种不断更换舞伴的轻快交谊舞"
cotoneaster,"kә,tәuni'æstә","n. 枸子属植物, 枸子属"
cotta,'kɒtә,n. 短法衣
cottage,'kɒtidʒ,"n. 小屋, 茅舍"
cottager,'kɔtidʒә(r),"n. (英)村民, (美)住在避暑地别墅中的人"
cotton,'kɒtn,"n. 棉花\nvi. 和谐, 有好感, 理解"
cottonmouth,'kɔtәn.mauθ,n. 棉口蛇；水腹蛇；噬鱼蝮蛇（等于water moccasin）
cottonseed,'kɔtәnsi:d,n. 棉籽
cottontail,'kɔtәnteil,n. 美洲产白尾棕色免
cottonwood,'kɔtәnwjd,n. 三角叶杨
cottony,'kɒtәni,"a. 象棉样的, 起毛的, 柔软的\n[建] 似棉的, 柔软的, 棉的"
cotyledon,.kɒti'li:dn,"n. 子叶, 寇太来顿属植物\n[医] 绒毛叶; 子叶(植物)"
couch,kautʃ,"n. 长沙发, 睡椅, 卧榻\nvt. 横躺, 表达\nvi. 躺下, 蹲伏"
cougar,'ku:gә,n. 美洲狮
cough,kɒf,n. 咳嗽\nvi. 咳嗽\nvt. 咳出
coughing,ˈkɒfɪŋ,v. 咳嗽( cough的现在分词 ); （从喉咙或肺中）咳出; （突然）发出刺耳的噪音
could,kud,"aux. 可以, 能"
coulee,'ku:li,"n. 深谷, 小溪, 熔岩流"
coulis,, 稀果酱
couloir,'ku:lwɑ:,n. 峡谷
coulomb,ku:'lɒm,n. 库仑\n[医] 库仑(电量单位)
coumarin,'ku:mәrin,"n. 香豆素, 氧杂萘邻酮\n[化] 香豆素1,2-氧萘酮"
council,'kaunsәl,"n. 会议, 委员会\n[经] 委员会"
councillor,'kaunsilә,"n. 地方议会成员, 议会委员, 顾问, 评议员, 参赞\n[法] 议员, 评议员, 顾问"
councilman,'kaunslmәn,"n. 委员, 市议会议员\n[法] 议会议员, 市议员"
councilor,'kaunsilә,"n. 地方议会成员, 议会委员, 顾问, 评议员, 参赞"
councilwoman,"'kajnsәl,wjmәn",[法] 女议员
counsel,'kaunsәl,"n. 商议, 忠告, 法律顾问\nv. 商议, 劝告"
counseling,'kaunsәliŋ,n. 咨询服务
counselling,,"[法] 评议, 商议, 指导"
counsellor,'kaunsәlә,"n. 顾问, 辅导员, 律师"
counselor,'kaunsәlә,"n. 顾问, 参事, 法律顾问"
count,kaunt,"vt. 计算, 视为\nvi. 计数\nn. 计算, 合计, 计数, 伯爵\n[计] 计数"
countable,'kauntәbl,"a. 能算的, 可计算的\nn. 可数的东西, 可数名词"
countdown,'kauntdaun,n. 倒计数\n[电] 指示串联中的操作数固定的记录减少
countenance,'kauntәnәns,"n. 面容, 面部表情, 支持, 镇定"
counter,'kauntә,"n. 计算器, 计算者, 柜台, 筹码\na. 反方向的, 相反的\nadv. 反方向地, 相反地\n[计] 计数器; 计数字"
counteract,.kauntә'rækt,"vt. 抵消, 阻碍, 中和\n[法] 抵抗, 阻碍, 抵销"
counteraction,.kauntә'rækʃәn,"n. 抵消, 反作用, 中和\n[医] 对抗作用"
counterargument,,[法] 抗办
counterattack,'kauntәrә.tæk,"n. 反攻, 反击\nv. 反攻, 反击"
counterbalance,'kauntә.bælәns,"vt. 使平均, 使平衡, 使弥补\nn. 平衡量, 平衡力, 势均力敌"
counterbalanced,ˈkaʊntəˌbælənst,"v. 对…起平衡作用, 抵消( counterbalance的过去式和过去分词 )"
counterbalancing,,n. 对重平衡；平衡；补偿；均衡化
counterclockwise,.kauntә'klɒkwaiz,a. 反时针方向的\nadv. 反时针方向
countercultural,",kaʊntə'kʌltʃərəl","a. 反主流文化的, 反正统文化的"
counterculture,'kauntәkʌltʃә,n. 反主流文化
counterfactual,",kajntә'fæktʃjәl",a. [逻]反事实的( 指在不同条件下有可能发生但违反现存事实的)
counterfeit,'kauntәfit,"n. 赝品, 伪造品\na. 假冒的, 假装的\nv. 仿造, 伪装, 假装"
counterfeiter,'kauntәfitә,"n. 伪造者, 货币伪造者, 假造者\n[法] 伪造者, 伪造货币者"
counterfeiting,'kaʊntəfɪtɪŋ,"n. 伪造\nv. 仿制, 造假( counterfeit的现在分词 )"
counterforce,'kauntәfɒ:s,"n. 反对势力, 打击军事力量, 反作用力"
counterinsurgency,'kauntәrin'sә:dʒәnsi,n. 反暴动
counterintelligence,"'kauntәrin,telidʒәns",n. 反情报\n[法] 反情报
counterintuitive,",kajntәrin'tju:itiv",a. 违反直觉的
counterman,'kauntәmæn,n. 柜台服务员
countermand,.kauntә'mɑ:nd,"vt. 取消, 撤回, 下命令召回\nn. 收回命令, 取消命令"
countermeasure,'kauntә.meʒә,"n. 对策, 反抗手段, 反措施\n[法] 对策, 反对手段, 抵制措施"
countermove,'kauntәmu:v,"n. 相反行动, 对抗行动, 报复行动"
counteroffer,"'kauntә,ɔ:fә","[法] 还价, 反要约"
counterpane,'kauntәpein,n. 床罩
counterpart,'kauntәpɑ:t,"n. 副本, 复本, 配对物, 相应物\n[经] 副本, 正副二份中之一"
counterparty,"'kauntə,pɑ:ti", 合同的一方; 对手方
counterpoint,'kauntәpɒint,"n. 对位法, 旋律配合, 复调"
counterpoise,'kauntәpɒiz,"vt. 均衡, 平衡, 使平衡\nn. 衡重体, 秤锤, 平衡"
counterpose,'kauntәpәus,vt. 使对立
counterproductive,.kauntәprә'dʌktiv,a. 反生产的；使达不到预期目标的
counterpunch,"'kauntә,pʌntʃ","n. 反击,回击,(拳击的)迎击"
counterrevolution,kauntәrevә'lu:ʃәn,n. 反革命
countersink,'kauntәsiŋk,"vt. 钻孔装埋, 打埋头孔于\nn. 埋头孔, 锥口钻"
countertenor,'kauntә'tenә,n. 男高音
counterterrorism,'kaʊntəˌterərɪzəm,"n. 以恐怖反恐怖主义, 报复性恐怖主义"
countertop,'kajntәtɔp,n. (厨房的)工作台面
countervail,.kauntә'veil,"vt. 补偿, 抵销\nvi. 抵销"
countervailing,ˈkaʊntəveɪlɪŋ,"a. 补偿的, 弥补的, 抵消的\nv. 补偿, 弥补( countervail的现在分词 ); （通常指有力或成功地）对抗, 抵消"
counterweight,'kauntәweit,"n. 平衡物, 平衡力, 秤锤\n[机] 配重"
countess,'kauntis,"n. 伯爵夫人, 女伯爵"
counting,'kauntiŋ,n. 计算\n[医] 计数
countless,'kauntlis,"a. 数不尽的, 无数的"
countrified,'kʌntrifaid,"a. 土气的, 粗俗的,思想简单的,质朴的.带有乡村风味的"
country,'kʌntri,"n. 国家, 乡村, 地区, 故乡\na. 乡下的, 农村的\n[计] DOS外部命令:用于设定国家代码, 包括日期时间及货币格式"
countryman,'kʌntrimәn,"n. 同胞, 乡下人, 国民"
countryside,'kʌntrisaid,"n. 乡下地方, 乡下居民"
countrywide,'kʌntriwaid,a. 全国范围的
countrywoman,"'kʌntri,wjmәn","n. 女同胞, 女同乡, 乡下女人"
county,'kaunti,"n. 县, 郡"
countywide,, 遍及全郡（或县）的；全郡（或县）的
coup,'ku:,"n. 砰然的一击, 妙计, 出乎意料的行动, 政变\n[医] 发作, 中, 击"
coupe,'ku:pei,"n. 双座四轮轿式马车, 小轿车, 双门轿式小汽车, (英)铁路客车尾部的分隔车厢"
couple,'kʌpl,"n. 对, 夫妇, 数个\nvt. 使成双, 连接, 使成婚, 把...联系起来\nvi. 结合, 成婚"
coupled,'kʌpld,v. 联接的；成对的；耦合的；共轭的（couple的过去分词形式）
coupler,'kʌplә,"n. 连结者, 连接器, 耦合器, 车钩\n[计] 耦合器"
couplet,'kʌplit,"n. 对句, 对联"
coupling,'kʌpliŋ,"n. 联结, 结合, 耦合\n[计] 耦合"
coupon,'ku:pɒn,"n. 息票, 赠券\n[经] 息票, 利息单, 联票"
courage,'kʌridʒ,"n. 勇气, 胆量"
courageous,kә'reidʒәs,"a. 勇敢的, 大胆的, 有胆量的"
courageously,,adv. 勇敢地
courier,'kuriә,"n. 送快信的人, 伴游服务员\n[法] 信使, 送急件者"
course,kɒ:s,"n. 课程, 路线, 过程, 一道菜, 道路\nv. 追, (使)跑"
courseware,,[计] 课件
coursework,ˈkɔ:swɜ:k," 国外的硕士入学方式分为两种, 其中的一种为coursework,为普通形式的硕士入学方式, 需要学生提交寻常申请用的资料"
coursing,'kɔ:siŋ,n. 追赶；奔驰；携带猎犬狩猎
court,kɒ:t,"n. 法院, 庭院, 奉承\nvt. 献殷勤, 追求, 招致\nvi. 求爱"
courteous,'kә:tjәs,"a. 彬彬有礼, 谦恭的"
courteously,,adv. 亲切地；有礼貌地
courtesan,kɔ:ti'zæn; (?@) 'kɔ:tizn,"n. 高等妓女, 名妓"
courtesy,'kә:tisi,"n. 礼貌, 谦恭, 好意\n[法] 优待, 礼貌, 恩惠"
courthouse,'kɒ:thaus,"n. 法院, 郡政府所在地"
courtier,'kɒ:tjә,"n. 侍臣, 奉承者"
courting,,vt. 招致（court的现在分词形式）
courtliness,'kɒ:tlinis,"n. 谦恭, 礼让, 恳挚"
courtly,'kɒ:tli,"a. 谦恭的, 礼让的, 有教养的"
courtroom,'kɒ:trum,"n. 法庭, 审判室\n[法] 法庭, 审判室"
courtship,'kɒ:tʃip,"n. 求爱, 求婚, 求爱时期"
courty,,n. (Courty)人名；(法)库尔蒂
courtyard,'kɒ:tjɑ:d,"n. 庭院, 天井"
cousin,'kʌzәn,"n. 堂兄弟姊妹, 表兄弟姊妹\n[法] 同辈表亲或堂亲"
couture,ku'ty:r,n. 时髦女子服装业
couturier,kutyr'je,"n. 时髦女服商店, 时髦女服商/女设计师"
covalent,kәu'veilәnt,"a. 共有原子价的, 共价的"
covariance,kәu'vєәriәns,n. 协方差\n[化] 协方差
covariate,kʌ'veərɪət,"n. 协变量, 相关变量"
covariation,"kәj,veәri'eiʃәn","[计] 协变性, 协方差"
cove,kәuv,"n. 山凹, 小湾\nv. (使)内凹, (使)成拱形"
coven,"'kʌvәn, 'kәu-",n. 女巫大聚会
covenant,'kʌvәnәnt,"n. 契约, 盟约\nv. 立契约, 缔结盟约"
covenantal,'kʌvənənt,"a. covenant（盟约；契约；用盟约或契约承诺, 保证；订立契约）的变形"
cover,'kʌvә,"n. 盖子, 封面, 藉口\nvt. 覆盖, 掩饰, 保护, 掩护, 包括\nvi. 覆盖"
coverage,'kʌvәridʒ,"n. 覆盖的范围, 保险总额, 新闻报导\n[化] 可达范围; 覆盖度"
coveralls,,n. 衣裤相连的工作服（coverall的复数形式）
covered,'kʌvәd,"a. 隐蔽着的, 掩藏着的, 有屋顶的\n[建] 涂抹了的, 覆盖了的, 掩盖了的"
covering,'kʌvәriŋ,"n. 覆盖物, 掩蔽物\na. 掩护的, 掩盖的\n[计] 覆盖"
coverlet,'kʌvәlit,n. 床罩
covert,'kʌvәt. 'kәuvәt,"a. 隐蔽的, 偷偷摸摸的, 隐密的\nn. 树丛, 隐藏处"
covertly,,adv. 偷偷摸摸地；秘密地
covet,'kʌvit,"v. 妄想, 垂涎"
coveted,ˈkʌvɪtid,"a. 令人垂涎的; 垂涎的, 梦寐以求的\nv. 贪求, 觊觎(covet的过去分词); 垂涎; 贪图"
covetous,'kʌvitәs,"a. 贪婪的, 妄想的"
covetousness,'kʌvitəsnis,n. 贪婪；贪心；妄羡
covey,'kʌvi,"n. (一)群, 一队"
cow,kau,"n. 母牛, 母兽\nvt. 威胁"
coward,'kauәd,"n. 懦弱的人, 胆小的人"
cowardice,'kauәdis,n. 懦弱
cowardly,'kauәdli,"a. 怯懦的, 懦弱的；胆小的"
cowbell,'kaubel,n. 母牛的颈铃
cowbird,'kaubә:d,n. 牛鹂
cowboy,'kaubɒi,"n. 牛仔, 牛郎, 牧童"
cowed,kaʊd,vt. 恐吓（cow的过去式与过去分词形式）
cower,'kauә,"vi. 畏缩, 退缩, 抖缩"
cowering,ˈkaʊərɪŋ,"v. 畏缩, 抖缩( cower的现在分词 )"
cowgirl,'kaugә:l,n. 女牛仔
cowhand,'kau.hænd,n. （美）牧牛工
cowhide,'kauhaid,"n. 牛皮, 牛皮鞭\nvt. 用牛皮鞭打"
cowl,kau,"n. 蒙头斗篷, 通风帽\n[化] 风扇罩"
cowled,kauld,a. 带头巾的
cowlick,,n. 翘着不易压平的一绺头发
cowling,'kauliŋ,"n. 飞机整流罩, 外壳"
cowpea,'kaupi:,n. 豇豆\n[医] 豇豆
cowpoke,'kajpәjk,"n. <美口>牧牛工,牛仔"
cowpox,'kaupɒks,n. 牛痘\n[医] 牛痘
cowrie,'kajri,"n. 宝贝, 海, 贝壳"
cowry,'kauri,"n. 宝贝(一种腹足动物), 宝贝贝壳"
cowshed,'kauʃed,"n. 牛房, 牛舍"
coxswain,'kɒkswein,"n. 艇长, 舵手"
coy,kɒi,"a. 腼腆的, 怕羞的, 羞怯的"
coyly,kɔɪlɪ,"adv. 害羞地, 羞怯地"
coyness,kɔɪnəs,"n. 怕羞, 羞怯"
coyote,'kɒiәut,"n. 丛林狼, 讨厌的家伙"
cozily,'kәuzili,"adv. 舒适地, 安乐地, 安逸地"
coziness,'kәuzinis,"n. 舒适, 安逸, 畅快"
cozy,'kәuzi,"a. 舒适的, 安逸的, 惬意的\nn. (茶壶等的)保暖罩, 舒适的座位\nvt. 以假话使安心"
CPA,,"[计] 调用程序分析, 交叉程序审查程序"
CPU,,中央处理器\n[计] 中央处理器
crab,kræb,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果\nvi. 捕蟹, 偏航, 发牢骚\nvt. 使偏航, 抱怨, 破坏"
crabapple,k'ræbæpl, 野苹果; 沙果
crabbed,'kræbid,"a. 潦草的, 难懂的, 易怒的, 倔强的"
crabby,'kræbi,"a. 脾气坏的, 易怒的, 坏脾气的"
crabgrass,'kræbgrɑ:s,n. 马唐(一种杂草)
crablike,'kræblaik,a. 蟹似的\nadv. 蟹似地
crabmeat,k'ræbmi:t,n. 蟹肉
crack,kræk,"n. 裂缝, 爆裂声\nv. (使)爆裂, (使)裂开, (使)发出爆裂声\na. 第一流的\nadv. 啪地一声"
crackdown,'krækdaun,"n. 制裁, 镇压, 痛击"
cracked,krækt,"a. 破碎的, 破裂的, 声音嘶哑的\n[建] 有裂缝的, 裂化的"
cracker,'krækә,"n. 饼干, 爆竹\n[计] 破袭者"
crackerjack,'krækәdʒæk,"n. <俚>能力极强之人, 极佳之物"
crackers,'krækәz,"a. 精神错乱的, 癫狂的, 狂热的"
crackhead,, 强效可卡因瘾君子
